,player,pos,team,gp,mpg,orpm,drpm,rpm,wins,uuid,adjusted_wins
0,LeBron James,SF,MIA,62,37.5,5.49,1.39,6.88,14.30,bedcfe40-c385-484d-85bc-e13eb14254ca,17.330000000000002
1,Chris Paul,PG,LAC,60,36.4,4.65,2.02,6.67,12.80,40b1fb2d-fa62-4821-ad86-82eb61726f8c,15.83
2,Dwight Howard,C,ORL,54,38.3,1.65,4.21,5.86,11.10,b89c8f21-0a6f-4c76-b5e8-b5775c73583b,14.129999999999999
3,Ryan Anderson,PF,ORL,61,32.2,3.71,1.74,5.45,10.00,4c9e8daf-3859-4085-9024-b00a4aeec6c5,13.03
4,Blake Griffin,PF,LAC,66,36.2,2.46,2.70,5.16,11.67,edd4e1e6-bc07-48a0-92f1-b2de2297789a,14.7
5,Kevin Love,PF,MIN,55,39.0,4.08,0.67,4.74,10.39,2b2bcfdb-1fd0-4251-8a58-1c9bc6c4e887,13.42
6,Dirk Nowitzki,F,DAL,62,33.5,2.16,2.40,4.56,9.36,41454901-7576-4ff8-89a6-6763f727d2d8,12.389999999999999
7,Tim Duncan,C,SA,58,28.2,0.83,3.24,4.07,7.10,12b9fb27-2178-4f65-9099-9764b863e4df,10.129999999999999
8,Kevin Durant,PF,OKC,66,38.6,4.15,-0.08,4.07,11.15,5dde60a0-ddd0-444a-a30d-af49c13df613,14.18
9,John Lucas,PG,CHI,49,14.8,2.52,1.40,3.93,2.87,,5.9
10,Dwyane Wade,G,MIA,49,33.2,3.54,0.34,3.88,6.78,911c5842-c4ce-4684-a479-31e7220e6277,9.81
11,Tony Parker,G,SA,60,32.1,3.46,0.37,3.83,8.05,e7f7d281-52b9-4155-9b66-378c964837f5,11.08
12,Josh Smith,PF,ATL,66,35.3,1.39,2.33,3.72,9.29,fa1a28ac-dac6-40b8-a668-884aeaa2e85c,12.319999999999999
13,Kevin Garnett,PF,BOS,60,31.1,-0.16,3.84,3.68,7.33,8c4661f3-343f-4842-be7c-8b91d0f7409f,10.36
14,Derrick Rose,PG,CHI,39,35.3,5.29,-1.72,3.57,5.46,4838e8d6-bfe6-4461-9731-4a194563e628,8.49
15,Paul Millsap,PF,UTAH,64,32.8,0.65,2.86,3.51,8.15,16209d46-a478-4126-8230-fb91cea66f19,11.18
16,Danny Granger,SF,IND,62,33.3,2.23,1.20,3.43,8.00,436a835e-99b9-44d8-bd18-42a0f9802bb6,11.03
17,Russell Westbrook,PG,OKC,66,35.3,3.90,-0.53,3.36,9.12,1dc36313-c835-4a5d-b3f4-2cc5ba66d82e,12.149999999999999
18,James Harden,SG,OKC,62,31.4,4.69,-1.35,3.34,7.50,5a4ef6ab-300d-469b-b1b5-a2aa94d3df73,10.53
19,Louis Williams,SG,PHI,64,26.3,3.57,-0.30,3.27,6.27,,9.299999999999999
20,Paul Pierce,SF,BOS,61,34.0,2.57,0.65,3.22,7.68,ead63c29-2988-478d-b595-6060f10983e0,10.709999999999999
21,Andre Iguodala,F,PHI,62,35.6,0.63,2.55,3.18,7.92,bd56f727-1302-42ae-b243-bf6722378b35,10.95
22,Steve Novak,SF,NY,54,18.9,2.67,0.43,3.10,3.75,ace71ae3-82ac-4d47-b8ce-3933ed02b828,6.779999999999999
23,Marc Gasol,C,MEM,65,36.5,-0.05,3.10,3.05,8.63,a6f2bdf8-dbe1-46e9-a94a-c2a2d7580b3b,11.66
24,Stephen Curry,PG,GS,26,28.2,3.72,-0.68,3.04,2.74,9c7a1a07-4978-474c-b472-3cb227f9e4cf,5.77
25,Paul George,F,IND,66,29.7,0.61,2.43,3.04,7.12,b39db48f-c114-4524-993d-2be28eda83a9,10.15
26,Matt Bonner,C,SA,65,20.4,1.45,1.52,2.97,4.72,7c5e0d90-00bf-420b-b0a3-f3dfbf105d1a,7.75
27,Nate Robinson,PG,GS,51,23.4,3.28,-0.45,2.83,4.15,ad748b99-6c60-4e38-b6f9-6d10f2684150,7.18
28,Carmelo Anthony,PF,NY,55,34.1,3.13,-0.31,2.82,6.57,5aba723b-d598-4f57-ad9d-66759ddbc5bf,9.6
29,Kobe Bryant,SF,LAL,58,38.5,3.83,-1.09,2.74,7.50,825ab381-2ad5-4685-98b9-93b318bd37da,10.53
30,Ty Lawson,G,DEN,61,34.8,2.94,-0.23,2.71,7.27,edadd7b6-3363-471e-abe5-cde829856b76,10.299999999999999
31,Tyson Chandler,C,NY,62,33.2,0.06,2.56,2.61,6.88,0c588c9f-a494-458c-977d-9bb060491882,9.91
32,Manu Ginobili,G,SA,34,23.3,5.75,-3.15,2.59,2.71,d4a0b468-3ec5-4ecb-b94e-f1565f1af651,5.74
33,Kyle Lowry,PG,HOU,47,32.1,2.48,0.07,2.55,5.01,09855ef9-5497-4128-8dc1-db0500f2491e,8.04
34,Eric Gordon,SG,NO,9,34.4,3.40,-0.97,2.43,0.98,fee0cbdd-724d-46c7-9f77-ba9c21057ad0,4.01
35,Al Harrington,PF,DEN,64,27.5,2.09,0.33,2.43,5.70,ddd70de7-d158-43e7-aa49-51a673af197f,8.73
36,Al Jefferson,C,UTAH,61,34.0,0.55,1.87,2.42,6.56,0efc7b08-70c4-4468-912a-6345b7971a14,9.59
37,Jannero Pargo,PG,ATL,50,13.4,1.71,0.71,2.42,2.06,f8c6044c-b9ef-4228-8dd0-cf51fe581d3b,5.09
38,Joe Johnson,G,ATL,60,35.5,2.64,-0.25,2.39,6.59,813f81d6-73a3-46c4-8365-6991d1dd5a84,9.62
39,Taj Gibson,F,CHI,63,20.4,-0.71,3.08,2.37,3.95,1909dc5a-5696-44cc-a4c7-920b33739e98,6.98
41,Goran Dragic,PG,HOU,66,26.5,3.08,-0.71,2.37,5.47,dc0edf7c-2ffc-499d-887c-f5177f69cad7,8.5
42,LaMarcus Aldridge,C,POR,55,36.3,0.89,1.46,2.35,6.23,8e44a15c-b4d5-4dfe-bdf7-b86931475b32,9.26
43,Mike Dunleavy,SG,MIL,55,26.3,2.45,-0.16,2.29,4.61,2c3c09ad-57d2-48d7-8a00-f77e79ae5e61,7.640000000000001
44,Luol Deng,F,CHI,54,39.4,-0.12,2.32,2.20,6.35,8fc3eccc-a295-4ff3-84aa-59e2f2695930,9.379999999999999
45,Charlie Villanueva,PF,DET,13,13.8,2.09,0.10,2.19,0.54,8e2a375f-b679-4adb-b559-9169ed23ded5,3.57
46,Linas Kleiza,SF,TOR,49,21.6,0.74,1.43,2.16,3.12,6699858e-1320-49fa-896c-8f35a7459242,6.15
47,Lester Hudson,SG,CLE/MEM,16,20.9,2.47,-0.37,2.10,0.98,ee511689-4845-4c44-a707-4335fb4e212f,4.01
48,Andrew Bynum,C,LAL,60,35.2,0.34,1.71,2.05,5.99,14bbb9e0-f7bd-445a-97ef-29c1ae7dae2c,9.02
49,Chauncey Billups,PG,LAC,20,30.4,2.44,-0.39,2.05,1.76,7a09dda4-5980-4115-b1c8-bde37d6b4d12,4.79
50,JR Smith,G,NY,35,27.6,2.00,0.05,2.04,2.83,8e853379-163d-463c-8827-d80647c8dd79,5.859999999999999
51,Carlos Boozer,PF,CHI,66,29.5,-0.43,2.39,1.96,5.45,ff148c20-a1b1-444c-9f51-c2f202a6a397,8.48
52,Marcin Gortat,C,PHX,66,32.0,0.21,1.71,1.91,6.06,df646812-7636-4693-991c-b54e7a13cf87,9.09
53,Deron Williams,PG,NJ,55,36.3,4.38,-2.46,1.91,5.72,57b01acc-6f51-43b8-8059-7117e6d0066f,8.75
54,Mario Chalmers,G,MIA,64,28.5,0.72,1.15,1.87,5.10,2b64f7fc-1e1e-4f9b-ae76-4f06d31b211c,8.129999999999999
55,Steve Nash,PG,PHX,62,31.6,4.08,-2.22,1.86,5.60,34456aa0-a158-4716-8239-0dafe5d7b920,8.629999999999999
56,Elliot Williams,SG,POR,24,6.2,3.12,-1.28,1.84,0.44,d925f32c-8957-4f93-9427-825be93a7225,3.4699999999999998
57,Zach Randolph,F,MEM,28,26.3,0.19,1.65,1.84,2.02,a213f52e-0ad3-4d46-8911-ad35c7438b82,5.05
58,Jeremy Lin,G,NY,35,26.9,3.04,-1.21,1.84,2.71,79b105ba-a3b4-4528-854e-c8f64a268979,5.74
59,Vince Carter,G,DAL,61,25.3,0.24,1.53,1.77,4.11,96046c84-d179-44f1-976e-f81afa46108f,7.140000000000001
60,Mike Conley,PG,MEM,62,35.1,1.04,0.70,1.74,5.94,ebc02828-465d-4985-90df-4facae97337a,8.97
61,Greivis Vasquez,PG,NO,66,25.8,0.58,1.15,1.73,4.51,391e88f9-27d2-44d5-9bee-971b163eef73,7.539999999999999
62,Rajon Rondo,PG,BOS,53,36.9,1.48,0.22,1.70,5.24,00e6c4e1-3e3e-4f98-a6b3-ce587b855030,8.27
63,Beno Udrih,PG,MIL,59,18.3,0.95,0.74,1.69,2.94,0ddf56dc-9907-47ff-ab13-22e7c0ae2332,5.97
64,Elton Brand,PF,PHI,60,28.9,-1.32,2.99,1.67,4.41,992a6106-25bb-4542-a824-1ab30a90ff3a,7.4399999999999995
65,Ekpe Udoh,F,GS/MIL,61,21.1,-2.30,3.93,1.63,3.44,8939f0d0-05cb-4715-ac0d-adb4ff074502,6.47
66,Danilo Gallinari,PF,DEN,43,31.4,1.69,-0.11,1.59,3.59,52ec22d7-31a7-468e-ab3e-c75564694586,6.619999999999999
67,Chris Bosh,PF,MIA,57,35.2,0.32,1.25,1.57,5.22,ce7ae779-d64a-4736-86b2-4184fd5871fb,8.25
68,Channing Frye,F,PHX,64,26.1,1.02,0.54,1.57,4.34,f521a6f7-c63d-4537-8b28-1de83ebf2dbe,7.369999999999999
69,Omer Asik,C,CHI,66,14.7,-2.85,4.40,1.55,2.36,a0373df2-5408-42b7-b174-279f95fe56ae,5.39
70,Andrew Bogut,C,MIL,12,30.3,-1.89,3.44,1.55,0.92,d96147fc-88ce-422f-b440-0fc011fac2d5,3.9499999999999997
