,player,pos,team,gp,mpg,orpm,drpm,rpm,wins,uuid,adjusted_wins
0,Stephen Curry,PG,GS,79,33.4,9.25,-1.29,7.96,19.03,9c7a1a07-4978-474c-b472-3cb227f9e4cf,24.1
1,LeBron James,SF,CLE,74,37.8,6.96,0.63,7.59,18.31,bedcfe40-c385-484d-85bc-e13eb14254ca,23.38
2,Chris Paul,PG,LAC,61,31.5,4.88,2.50,7.38,12.50,40b1fb2d-fa62-4821-ad86-82eb61726f8c,17.57
3,Kyle Lowry,PG,TOR,60,37.4,4.84,1.23,6.07,12.19,09855ef9-5497-4128-8dc1-db0500f2491e,17.259999999999998
4,Rudy Gobert,C,UTAH,81,33.9,-0.31,5.74,5.43,13.39,8acbad0f-aa60-41d7-bc2f-1e9e011d8993,18.46
5,Jimmy Butler,SF,CHI,76,37.0,2.21,2.69,4.90,13.11,5cbc01e2-a4cf-428d-9696-0be12d360f30,18.18
6,Nikola Jokic,C,DEN,73,27.9,5.21,-0.43,4.78,9.68,a9e4aaeb-2163-459f-ad70-10bed0cbef61,14.75
7,Kevin Durant,PF,GS,62,33.4,5.22,-0.50,4.73,9.85,5dde60a0-ddd0-444a-a30d-af49c13df613,14.92
8,James Harden,SG,HOU,81,36.4,7.89,-3.26,4.62,13.85,5a4ef6ab-300d-469b-b1b5-a2aa94d3df73,18.92
9,Bradley Beal,SG,WSH,77,34.9,4.37,0.18,4.55,12.15,23b2b486-c651-404a-9eba-640ab1594a83,17.22
10,Malik Beasley,SG,DEN,22,7.5,3.21,1.23,4.44,0.77,3473d80c-586e-4ede-bdb2-e325da469f92,5.84
11,Jared Dudley,SF,PHX,64,21.3,1.53,2.73,4.26,6.10,f28ab262-881f-4675-8200-d5e15f93195e,11.17
12,Patrick Patterson,PF,TOR,65,24.6,0.68,3.51,4.19,6.66,363646a1-0fcc-44f4-90ef-82f85b8da460,11.73
13,Klay Thompson,SG,GS,78,34.0,3.61,0.37,3.98,11.01,8b3293db-f894-424e-98df-3fefff3c890f,16.08
14,Russell Westbrook,PG,OKC,81,34.6,7.89,-4.08,3.81,11.49,1dc36313-c835-4a5d-b3f4-2cc5ba66d82e,16.560000000000002
15,Robert Covington,PF,PHI,67,31.6,-0.72,4.32,3.60,8.32,ae2da12d-91f2-4646-8606-6a5a720c31b2,13.39
16,Nikola Mirotic,F,CHI,70,24.0,1.70,1.88,3.58,6.35,9e0fbf8b-aa37-4ee2-8b29-55b3db9c0228,11.42
17,Mike Conley,PG,MEM,69,33.2,2.48,1.06,3.55,8.33,ebc02828-465d-4985-90df-4facae97337a,13.4
18,Kevin Love,PF,CLE,60,31.4,2.66,0.87,3.53,7.09,2b2bcfdb-1fd0-4251-8a58-1c9bc6c4e887,12.16
19,Jrue Holiday,PG,NO,67,32.7,1.66,1.84,3.51,8.39,25889713-b28a-4be8-9660-3ac5ac97e716,13.46
20,Jae Crowder,PF,BOS,72,32.4,1.56,1.94,3.49,8.86,72819411-d2a6-4e6c-ac94-0d66fb8bede5,13.93
21,Draymond Green,PF,GS,76,32.5,0.78,2.68,3.46,9.46,c11cfa25-fa01-4b4b-8338-40cee9f624df,14.530000000000001
22,Kawhi Leonard,SF,SA,74,33.4,3.41,-0.07,3.34,8.79,bb8bd3e8-4f7b-4762-b826-6ec2afcb7028,13.86
23,Damian Lillard,PG,POR,75,35.9,3.78,-0.60,3.18,9.64,78f04da4-220a-4294-9fd6-b4243df8f5b7,14.71
24,Victor Oladipo,SG,OKC,67,33.2,1.02,2.12,3.14,7.94,629ff9c4-4f2b-4817-88be-d9cbc4df9b6f,13.010000000000002
25,Giannis Antetokounmpo,PF,MIL,80,35.6,1.25,1.88,3.13,9.68,0a5638ef-6f1d-4b38-aafe-5364e228598f,14.75
26,Joel Embiid,C,PHI,31,25.4,0.58,2.52,3.11,2.81,395642df-8c55-4112-b850-4be318896e9e,7.880000000000001
27,Marc Gasol,C,MEM,74,34.2,0.78,2.29,3.07,8.34,a6f2bdf8-dbe1-46e9-a94a-c2a2d7580b3b,13.41
28,Paul Millsap,PF,ATL,69,34.0,0.49,2.49,2.98,8.08,16209d46-a478-4126-8230-fb91cea66f19,13.15
29,Paul George,F,IND,75,35.9,2.29,0.62,2.91,9.01,b39db48f-c114-4524-993d-2be28eda83a9,14.08
30,Troy Daniels,G,MEM,67,17.7,1.08,1.81,2.88,3.79,095f9944-b1d6-4049-9392-76300069aa40,8.86
31,Myles Turner,C,IND,81,31.4,-0.14,3.01,2.86,8.47,edec894a-4c96-48d4-9a99-888426ba9fa1,13.540000000000001
32,Louis Williams,SG,LAL/HOU,81,24.6,5.29,-2.45,2.84,6.79,,11.86
33,Anthony Davis,PF,NO,75,36.1,0.76,2.06,2.82,9.01,9ea8ac65-27b8-4853-a067-93d8f0356f5c,14.08
34,Patrick Mills,PG,SA,80,21.9,3.13,-0.38,2.75,5.66,,10.73
35,Jordan Crawford,G,NO,19,23.3,4.58,-1.90,2.68,1.39,d1b01f60-b239-49ea-bbe2-9561a63fd00b,6.46
36,Jeremy Lin,G,BKN,36,24.5,3.80,-1.19,2.61,2.98,79b105ba-a3b4-4528-854e-c8f64a268979,8.05
37,Eric Gordon,SG,HOU,75,31.0,2.69,-0.12,2.57,7.39,fee0cbdd-724d-46c7-9f77-ba9c21057ad0,12.46
38,Blake Griffin,PF,LAC,61,34.0,2.29,0.22,2.51,6.38,edd4e1e6-bc07-48a0-92f1-b2de2297789a,11.45
39,Kemba Walker,PG,CHA,79,34.7,1.68,0.83,2.51,8.33,a127a7cd-af4b-435f-a90a-1b176e187d5b,13.4
