,player,pos,team,gp,mpg,orpm,drpm,rpm,wins,uuid,adjusted_wins
0,LeBron James,SF,MIA,76,37.9,6.32,1.26,7.58,19.41,bedcfe40-c385-484d-85bc-e13eb14254ca,22.39
1,Chris Paul,PG,LAC,70,33.4,5.10,1.40,6.50,14.06,40b1fb2d-fa62-4821-ad86-82eb61726f8c,17.04
2,Vince Carter,G,DAL,81,25.8,3.17,1.90,5.07,11.01,96046c84-d179-44f1-976e-f81afa46108f,13.99
3,Kevin Durant,PF,OKC,81,38.5,4.28,0.65,4.93,15.90,5dde60a0-ddd0-444a-a30d-af49c13df613,18.88
4,Mike Conley,PG,MEM,80,34.5,1.39,3.53,4.92,13.27,ebc02828-465d-4985-90df-4facae97337a,16.25
5,Marc Gasol,C,MEM,80,35.0,-0.84,5.38,4.54,12.61,a6f2bdf8-dbe1-46e9-a94a-c2a2d7580b3b,15.59
6,Kevin Garnett,PF,BOS,68,29.7,-1.67,5.84,4.17,8.90,8c4661f3-343f-4842-be7c-8b91d0f7409f,11.88
7,George Hill,PG,IND,76,34.5,1.51,2.38,3.89,11.00,c5b9f92b-8034-4815-ae8f-041729580eed,13.98
8,Carlos Delfino,SG,HOU,67,25.2,2.49,1.40,3.89,7.53,e055c055-2596-4d0c-91e5-6ed6d0feb9fa,10.51
9,Tim Duncan,C,SA,69,30.1,0.44,3.36,3.80,8.93,12b9fb27-2178-4f65-9099-9764b863e4df,11.91
10,Devin Harris,G,ATL,58,24.5,2.60,1.19,3.78,6.02,6fd4c498-dfe8-4089-a51e-a251dd3c7a86,9.0
11,Brook Lopez,C,BKN,74,30.4,0.95,2.68,3.64,8.98,98b82862-6adb-4446-8471-e75ce9bd3293,11.96
12,Rasheed Wallace,PF,NY,21,14.1,1.45,2.00,3.45,1.16,59cc773b-c6d6-4242-ae3e-6795a5945ee2,4.14
13,Russell Westbrook,PG,OKC,82,34.9,4.52,-1.09,3.44,11.80,1dc36313-c835-4a5d-b3f4-2cc5ba66d82e,14.780000000000001
14,Dwyane Wade,G,MIA,69,34.7,2.87,0.49,3.35,9.34,911c5842-c4ce-4684-a479-31e7220e6277,12.32
15,Patrick Beverley,PG,HOU,41,17.4,1.11,2.21,3.31,2.82,8ac11084-3f75-4f6a-ab65-12b7bcc95cc6,5.8
16,Dirk Nowitzki,F,DAL,53,31.3,1.22,2.02,3.24,6.45,41454901-7576-4ff8-89a6-6763f727d2d8,9.43
17,Larry Sanders,PF,MIL,71,27.3,-1.19,4.40,3.22,7.73,c602180d-b2a2-44a3-9b7e-db86c0efc8d7,10.71
18,Andre Drummond,C,DET,60,20.7,0.77,2.40,3.17,4.64,f1682f40-3b97-4898-ae82-f77ba1f84c06,7.619999999999999
19,Manu Ginobili,G,SA,60,23.2,3.34,-0.22,3.12,5.53,d4a0b468-3ec5-4ecb-b94e-f1565f1af651,8.51
20,Carmelo Anthony,PF,NY,67,37.0,4.56,-1.44,3.12,9.22,5aba723b-d598-4f57-ad9d-66759ddbc5bf,12.200000000000001
21,Tony Parker,G,SA,66,32.9,3.13,-0.04,3.10,8.33,e7f7d281-52b9-4155-9b66-378c964837f5,11.31
22,Dwight Howard,C,LAL,76,35.8,0.57,2.33,2.90,10.17,b89c8f21-0a6f-4c76-b5e8-b5775c73583b,13.15
23,Kevin Love,PF,MIN,18,34.3,2.42,0.42,2.84,2.25,2b2bcfdb-1fd0-4251-8a58-1c9bc6c4e887,5.23
24,Metta World Peace,SF,LAL,75,33.7,0.47,2.31,2.78,9.23,670a19ff-960f-4b66-89c5-c438ef9dcd19,12.21
25,Stephen Curry,PG,GS,78,38.2,4.74,-2.05,2.68,10.92,9c7a1a07-4978-474c-b472-3cb227f9e4cf,13.9
26,Matt Barnes,SF,LAC,80,25.7,1.54,1.14,2.68,7.21,7a9a28d7-3b17-419a-89f7-bb1c605c0337,10.19
27,Paul George,F,IND,79,37.6,0.62,2.03,2.65,10.11,b39db48f-c114-4524-993d-2be28eda83a9,13.09
28,Andre Iguodala,F,DEN,80,34.7,1.81,0.77,2.58,9.88,bd56f727-1302-42ae-b243-bf6722378b35,12.860000000000001
29,Jameer Nelson,G,ORL,56,35.3,1.89,0.68,2.57,6.70,1aa7fd39-b6a2-4c36-8d77-9053f050bffa,9.68
30,James Harden,SG,HOU,78,38.3,4.74,-2.17,2.57,10.71,5a4ef6ab-300d-469b-b1b5-a2aa94d3df73,13.690000000000001
31,JR Smith,G,NY,80,33.5,1.53,0.97,2.50,8.90,8e853379-163d-463c-8827-d80647c8dd79,11.88
32,James Jones,SG,MIA,38,5.8,2.02,0.44,2.46,0.71,73314c74-f00a-476f-aa94-e04bfc80d491,3.69
33,Paul Pierce,SF,BOS,77,33.4,2.82,-0.38,2.45,8.64,ead63c29-2988-478d-b595-6060f10983e0,11.620000000000001
34,Pablo Prigioni,PG,NY,78,16.2,0.48,1.96,2.44,4.03,005120db-e518-4767-8e61-52b9c7ee4514,7.01
35,Joakim Noah,C,CHI,66,36.8,-1.65,4.08,2.43,7.92,d9d1c3fd-e29a-4fe7-8d6a-528127908823,10.9
36,DeMarre Carroll,F,UTAH,66,16.8,0.13,2.28,2.42,3.60,bd1ced90-d570-4d1e-98b6-3b1ddfba94fb,6.58
37,Amir Johnson,F,TOR,81,28.7,-0.31,2.72,2.41,7.59,49d36efa-34b1-4527-825b-0b8f65f20697,10.57
38,Tiago Splitter,C,SA,81,24.7,0.42,1.98,2.40,6.74,70bf0040-c5fb-4c1b-80a1-af48c005abfb,9.72
39,Reggie Jackson,PG,OKC,70,14.2,0.96,1.41,2.37,3.29,c5284b38-7b43-4425-9497-8c96dd2ffae7,6.27
