,player,pos,team,gp,mpg,orpm,drpm,rpm,wins,uuid,adjusted_wins
0,Kyle Lowry,PG,TOR,78,32.2,5.09,1.52,6.61,14.77,09855ef9-5497-4128-8dc1-db0500f2491e,20.2
1,Stephen Curry,PG,GS,51,32.0,9.09,-2.89,6.20,9.40,9c7a1a07-4978-474c-b472-3cb227f9e4cf,14.83
2,Fred VanVleet,SG,TOR,76,20.0,0.92,5.17,6.08,7.39,6d77ad54-bd07-4538-bfbc-e4a413a95b71,12.82
3,Chris Paul,PG,HOU,58,31.8,4.16,1.25,5.41,8.89,40b1fb2d-fa62-4821-ad86-82eb61726f8c,14.32
4,James Harden,SG,HOU,72,35.4,5.68,-0.71,4.98,11.55,5a4ef6ab-300d-469b-b1b5-a2aa94d3df73,16.98
5,Alec Peters,F,PHX,20,11.3,2.69,1.98,4.68,0.68,ad9ab200-9ec5-4e5c-889b-512aeffe4020,6.109999999999999
6,Davis Bertans,SF,SA,77,14.1,1.04,3.59,4.63,4.05,53f955a9-d64d-45e4-a5ce-9b491df75129,9.48
7,Bradley Beal,SG,WSH,82,36.3,1.81,2.63,4.44,12.15,23b2b486-c651-404a-9eba-640ab1594a83,17.58
8,Victor Oladipo,SG,IND,75,34.0,2.40,1.92,4.31,10.25,629ff9c4-4f2b-4817-88be-d9cbc4df9b6f,15.68
9,Jrue Holiday,PG,NO,81,36.1,2.20,1.87,4.07,11.87,25889713-b28a-4be8-9660-3ac5ac97e716,17.299999999999997
10,Jimmy Butler,SF,MIN,59,36.7,1.45,2.56,4.01,8.18,5cbc01e2-a4cf-428d-9696-0be12d360f30,13.61
11,Anthony Davis,PF,NO,75,36.4,2.71,1.16,3.87,10.61,9ea8ac65-27b8-4853-a067-93d8f0356f5c,16.04
12,Eric Gordon,SG,HOU,69,31.2,3.62,0.10,3.72,7.71,fee0cbdd-724d-46c7-9f77-ba9c21057ad0,13.14
13,Robert Covington,PF,PHI,80,31.6,1.91,1.77,3.68,9.40,ae2da12d-91f2-4646-8606-6a5a720c31b2,14.83
14,Nikola Jokic,C,DEN,75,32.5,3.51,0.08,3.60,8.65,a9e4aaeb-2163-459f-ad70-10bed0cbef61,14.08
15,Tyreke Evans,G,MEM,52,30.9,2.25,1.34,3.59,5.55,defd7777-7c04-4db1-a54b-f91dc61d1c6b,10.98
16,Russell Westbrook,PG,OKC,80,36.4,5.88,-2.32,3.56,10.64,1dc36313-c835-4a5d-b3f4-2cc5ba66d82e,16.07
17,Eric Bledsoe,SG,PHX/MIL,74,31.4,2.41,1.13,3.54,8.17,b2828eae-b187-41af-a5a3-bd57bd65e462,13.6
18,Buddy Hield,SG,SAC,80,25.3,0.85,2.69,3.54,6.13,29f14249-9d69-47ff-abd1-fa8a1917d8f3,11.559999999999999
19,Damian Lillard,PG,POR,73,36.6,4.22,-0.72,3.50,9.53,78f04da4-220a-4294-9fd6-b4243df8f5b7,14.959999999999999
20,Klay Thompson,SG,GS,73,34.3,2.75,0.72,3.46,9.01,8b3293db-f894-424e-98df-3fefff3c890f,14.44
21,Giannis Antetokounmpo,PF,MIL,75,36.7,2.55,0.83,3.38,9.28,0a5638ef-6f1d-4b38-aafe-5364e228598f,14.709999999999999
22,Kemba Walker,PG,CHA,80,34.2,3.01,0.34,3.35,9.33,a127a7cd-af4b-435f-a90a-1b176e187d5b,14.76
23,Louis Williams,SG,LAC,79,32.8,4.21,-0.89,3.32,8.62,,14.049999999999999
24,Nikola Mirotic,F,CHI/NO,55,27.2,2.48,0.81,3.29,4.96,9e0fbf8b-aa37-4ee2-8b29-55b3db9c0228,10.39
25,Kyle Korver,G,CLE,73,21.6,1.67,1.59,3.26,4.52,8803f3ad-893e-4541-ba72-7be494dbf1c4,9.95
26,John Wall,PG,WSH,41,34.4,3.44,-0.18,3.26,4.66,068c66d2-3a05-48a8-93f3-b45e53b5f410,10.09
