,player,pos,team,gp,mpg,orpm,drpm,rpm,wins,uuid,adjusted_wins
0,Dwight Howard,C,ORL,78,37.6,2.19,4.86,7.05,19.82,b89c8f21-0a6f-4c76-b5e8-b5775c73583b,23.76
1,Ryan Anderson,PF,ORL,64,22.3,3.03,3.10,6.13,8.71,4c9e8daf-3859-4085-9024-b00a4aeec6c5,12.65
2,LeBron James,SF,MIA,79,38.8,4.84,0.89,5.74,18.33,bedcfe40-c385-484d-85bc-e13eb14254ca,22.27
3,Chris Paul,PG,NO,80,36.0,3.06,2.54,5.60,16.35,40b1fb2d-fa62-4821-ad86-82eb61726f8c,20.290000000000003
4,Dirk Nowitzki,F,DAL,73,34.3,2.82,2.00,4.82,13.21,41454901-7576-4ff8-89a6-6763f727d2d8,17.150000000000002
5,Manu Ginobili,G,SA,80,30.3,5.17,-0.53,4.64,12.92,d4a0b468-3ec5-4ecb-b94e-f1565f1af651,16.86
6,Paul Pierce,SF,BOS,80,34.7,2.42,2.20,4.62,14.31,ead63c29-2988-478d-b595-6060f10983e0,18.25
7,Derrick Rose,PG,CHI,81,37.4,4.85,-0.43,4.42,15.01,4838e8d6-bfe6-4461-9731-4a194563e628,18.95
8,Kevin Garnett,PF,BOS,71,31.3,-0.07,4.40,4.33,11.10,8c4661f3-343f-4842-be7c-8b91d0f7409f,15.04
9,Dwyane Wade,G,MIA,76,37.1,4.71,-0.59,4.12,13.91,911c5842-c4ce-4684-a479-31e7220e6277,17.85
10,Steve Nash,PG,PHX,75,33.3,4.82,-0.75,4.06,12.30,34456aa0-a158-4716-8239-0dafe5d7b920,16.240000000000002
11,CJ Miles,G,UTAH,78,25.2,1.41,2.51,3.92,9.08,142e13da-cb15-4178-8159-cf31e99e9694,13.02
12,Tim Duncan,C,SA,76,28.4,0.65,3.25,3.90,10.37,12b9fb27-2178-4f65-9099-9764b863e4df,14.309999999999999
13,Kyle Lowry,PG,HOU,75,34.2,2.24,1.63,3.87,12.30,09855ef9-5497-4128-8dc1-db0500f2491e,16.240000000000002
14,Pau Gasol,PF,LAL,82,37.0,1.47,2.29,3.76,13.69,d0e5dfb2-54b8-4447-9abf-8d1e4d777fe1,17.63
15,Andrew Bynum,C,LAL,54,27.8,0.00,3.72,3.72,6.55,14bbb9e0-f7bd-445a-97ef-29c1ae7dae2c,10.49
16,Kobe Bryant,SF,LAL,82,33.9,4.69,-1.03,3.66,12.41,825ab381-2ad5-4685-98b9-93b318bd37da,16.35
17,Paul Millsap,PF,UTAH,76,34.3,0.70,2.74,3.44,11.35,16209d46-a478-4126-8230-fb91cea66f19,15.29
18,LaMarcus Aldridge,C,POR,81,39.6,-0.18,3.57,3.39,13.23,8e44a15c-b4d5-4dfe-bdf7-b86931475b32,17.17
19,Luol Deng,F,CHI,82,39.1,0.33,3.05,3.38,13.69,8fc3eccc-a295-4ff3-84aa-59e2f2695930,17.63
