,player,pos,team,gp,mpg,orpm,drpm,rpm,wins,uuid,adjusted_wins
0,LeBron James,SF,CLE,76,39.0,8.03,1.90,9.92,25.34,bedcfe40-c385-484d-85bc-e13eb14254ca,30.04
1,Dwyane Wade,G,MIA,77,36.3,6.29,-0.07,6.22,16.81,911c5842-c4ce-4684-a479-31e7220e6277,21.509999999999998
2,Dwight Howard,C,ORL,82,34.7,1.88,4.13,6.01,16.83,b89c8f21-0a6f-4c76-b5e8-b5775c73583b,21.529999999999998
3,Tim Duncan,C,SA,78,31.3,1.76,4.19,5.96,14.24,12b9fb27-2178-4f65-9099-9764b863e4df,18.94
4,Kobe Bryant,SF,LAL,73,38.8,3.72,1.43,5.15,15.21,825ab381-2ad5-4685-98b9-93b318bd37da,19.91
5,Kevin Durant,PF,OKC,82,39.5,4.17,0.72,4.89,17.08,5dde60a0-ddd0-444a-a30d-af49c13df613,21.779999999999998
6,Andrew Bogut,C,MIL,69,32.3,-0.41,4.65,4.24,10.48,d96147fc-88ce-422f-b440-0fc011fac2d5,15.18
7,Josh Smith,PF,ATL,81,35.4,0.46,3.47,3.92,12.62,fa1a28ac-dac6-40b8-a668-884aeaa2e85c,17.32
8,Sundiata Gaines,PG,UTAH,32,6.8,3.67,0.10,3.77,1.00,88928a53-62a7-4f13-b6a8-72970bcd3887,5.7
9,Chris Bosh,PF,TOR,70,36.1,2.41,1.30,3.70,11.21,ce7ae779-d64a-4736-86b2-4184fd5871fb,15.91
10,Manu Ginobili,G,SA,75,28.7,4.66,-1.03,3.63,9.44,d4a0b468-3ec5-4ecb-b94e-f1565f1af651,14.14
11,Chris Paul,PG,NO,45,38.0,3.38,0.24,3.62,7.36,40b1fb2d-fa62-4821-ad86-82eb61726f8c,12.06
12,Deron Williams,PG,UTAH,76,36.9,4.87,-1.32,3.55,12.59,57b01acc-6f51-43b8-8059-7117e6d0066f,17.29
13,Vince Carter,G,ORL,75,30.8,1.76,1.63,3.39,9.62,96046c84-d179-44f1-976e-f81afa46108f,14.32
14,Danny Granger,SF,IND,62,36.7,3.66,-0.32,3.34,9.90,436a835e-99b9-44d8-bd18-42a0f9802bb6,14.600000000000001
15,Andrei Kirilenko,SF,UTAH,58,29.0,0.58,2.68,3.26,7.07,a1f17fb0-a5bc-471c-a65a-1e2efae6a8a0,11.77
16,Anderson Varejao,C,CLE,76,28.5,-0.92,4.13,3.20,8.58,5ced13cf-0b2b-4044-acd8-625bd3ffaa6b,13.280000000000001
17,Andre Miller,PG,POR,82,30.5,0.93,2.25,3.18,9.69,8d3f8f93-4d10-4a38-ac11-5f2a1c7b6fdf,14.39
18,Ray Allen,SG,BOS,80,35.2,1.55,1.54,3.08,11.16,d0df9ea6-dc69-4d3d-9311-41a1fdebad9c,15.86
19,Dirk Nowitzki,F,DAL,81,37.5,1.63,1.31,2.94,11.74,41454901-7576-4ff8-89a6-6763f727d2d8,16.44
20,Amir Johnson,F,TOR,82,17.7,0.00,2.84,2.84,5.49,49d36efa-34b1-4527-825b-0b8f65f20697,10.190000000000001
21,Marc Gasol,C,MEM,69,35.8,0.54,2.29,2.82,9.50,a6f2bdf8-dbe1-46e9-a94a-c2a2d7580b3b,14.2
22,Ben Wallace,PF,DET,69,28.6,-2.47,5.11,2.64,6.97,59af6d1d-a322-41e8-9b64-220eecc0185a,11.67
23,JR Smith,G,DEN,75,27.7,2.69,-0.05,2.64,7.94,8e853379-163d-463c-8827-d80647c8dd79,12.64
24,Gerald Wallace,SF,CHA,76,41.0,-0.73,3.27,2.54,11.09,32ababf8-aaa7-4c8c-a836-e3bc6c38a6b0,15.79
25,John Salmons,SF,CHI/MIL,81,34.9,-0.60,3.06,2.46,9.94,0ba9bc6c-dbf9-406e-85a9-53e621eae742,14.64
26,Rajon Rondo,PG,BOS,81,36.6,1.57,0.80,2.37,10.38,00e6c4e1-3e3e-4f98-a6b3-ce587b855030,15.080000000000002
27,Zach Randolph,F,MEM,81,37.7,1.89,0.48,2.36,10.96,a213f52e-0ad3-4d46-8911-ad35c7438b82,15.66
28,Marcus Camby,C,LAC/POR,74,31.3,-2.04,4.39,2.35,8.02,daabe87b-5399-40dc-9a97-5c08300da5a5,12.719999999999999
29,Nicolas Batum,PF,POR,37,24.8,2.16,0.19,2.35,3.16,b81297e1-4063-4e09-aed3-98096249002b,7.86
30,Rodney Stuckey,PG,DET,73,34.2,-0.50,2.82,2.31,8.37,1091c607-4804-4e91-8c9a-c46b45971d40,13.07
31,Al Horford,C,ATL,81,35.1,-0.21,2.51,2.30,9.50,b21d8144-e255-442a-8c3f-2737727f9f38,14.2
32,Rasheed Wallace,PF,BOS,79,22.5,0.10,2.19,2.29,5.98,59cc773b-c6d6-4242-ae3e-6795a5945ee2,10.68
33,LaMarcus Aldridge,C,POR,78,37.5,-1.03,3.29,2.26,9.56,8e44a15c-b4d5-4dfe-bdf7-b86931475b32,14.260000000000002
34,Brandon Roy,SG,POR,65,37.2,3.06,-0.82,2.24,8.03,2f706a85-498c-4595-9593-df8ed30c2c4d,12.73
35,AJ Price,PG,IND,56,15.4,2.06,0.12,2.19,3.08,,7.78
36,Lamar Odom,PF,LAL,82,31.5,-0.25,2.42,2.17,8.73,0bf56478-de26-403e-b839-60c328fa925a,13.43
37,Kelenna Azubuike,SF,GS,9,25.7,2.51,-0.35,2.17,0.84,fd4e4b50-6a4d-4133-a615-8a2d3b5b5ef2,5.54
38,Ryan Anderson,PF,ORL,63,14.5,3.19,-1.03,2.17,3.07,4c9e8daf-3859-4085-9024-b00a4aeec6c5,7.77
39,Kevin Garnett,PF,BOS,69,29.9,-0.36,2.52,2.16,6.98,8c4661f3-343f-4842-be7c-8b91d0f7409f,11.68
41,Steve Nash,PG,PHX,81,32.8,5.50,-3.35,2.16,9.40,34456aa0-a158-4716-8239-0dafe5d7b920,14.100000000000001
42,Brendan Haywood,C,WSH/DAL,77,30.6,-1.63,3.77,2.14,7.78,f07acb84-9579-4176-ad13-c9e9c8dd8490,12.48
43,Craig Smith,PF,LAC,75,16.4,0.08,2.05,2.13,3.95,0a8def14-cc0b-488f-8067-8516633dd7dd,8.65
44,Ersan Ilyasova,PF,MIL,81,23.4,1.14,0.99,2.12,6.43,fdd6fb09-e624-4108-b0b1-640155f6ce7f,11.129999999999999
45,Jason Richardson,SG,PHX,79,31.5,2.42,-0.32,2.10,8.59,2ae10e27-713f-4024-85f2-8250bda16e3c,13.29
46,Amare Stoudemire,C,PHX,82,34.6,2.56,-0.47,2.09,9.78,,14.48
47,Nate Robinson,PG,NY/BOS,56,19.9,2.66,-0.62,2.04,3.66,ad748b99-6c60-4e38-b6f9-6d10f2684150,8.36
48,CJ Watson,PG,GS,65,27.5,0.94,1.02,1.96,6.33,,11.030000000000001
49,Chauncey Billups,PG,DEN,73,34.1,3.88,-1.95,1.94,8.22,7a09dda4-5980-4115-b1c8-bde37d6b4d12,12.920000000000002
50,Jason Terry,G,DAL,77,33.0,1.72,0.21,1.92,8.12,62b3e3ec-25cd-4ccb-a3fe-c6d448c8a7fb,12.82
51,Andre Iguodala,F,PHI,82,38.9,0.99,0.92,1.91,10.02,bd56f727-1302-42ae-b243-bf6722378b35,14.719999999999999
52,Matt Bonner,C,SA,65,17.9,2.01,-0.11,1.90,3.72,7c5e0d90-00bf-420b-b0a3-f3dfbf105d1a,8.42
53,Jameer Nelson,G,ORL,65,28.6,1.06,0.83,1.89,5.83,1aa7fd39-b6a2-4c36-8d77-9053f050bffa,10.530000000000001
54,Andrew Bynum,C,LAL,65,30.4,0.27,1.61,1.88,6.18,14bbb9e0-f7bd-445a-97ef-29c1ae7dae2c,10.879999999999999
55,Carmelo Anthony,PF,DEN,69,38.2,3.29,-1.55,1.74,8.33,5aba723b-d598-4f57-ad9d-66759ddbc5bf,13.030000000000001
56,Tyreke Evans,G,SAC,72,37.2,1.08,0.65,1.72,8.26,defd7777-7c04-4db1-a54b-f91dc61d1c6b,12.96
57,Matt Barnes,SF,ORL,81,25.9,0.51,1.20,1.71,6.40,7a9a28d7-3b17-419a-89f7-bb1c605c0337,11.100000000000001
58,Greg Oden,C,POR,21,23.9,0.41,1.29,1.70,1.47,9cbb68a9-833e-4870-b07e-7ce8c5b91981,6.17
59,Jason Kidd,PG,DAL,80,36.0,0.82,0.87,1.69,8.79,4f6cd300-77de-4617-918f-8ab84d906538,13.489999999999998
60,Joe Johnson,G,ATL,76,38.0,2.64,-0.96,1.68,8.49,813f81d6-73a3-46c4-8365-6991d1dd5a84,13.190000000000001
61,Quentin Richardson,SF,MIA,76,27.4,0.15,1.45,1.60,6.13,fb70095c-b1f8-411d-bdb6-dd3303d2630d,10.83
62,Kyle Lowry,PG,HOU,68,24.3,1.50,0.10,1.59,5.05,09855ef9-5497-4128-8dc1-db0500f2491e,9.75
63,Martell Webster,SF,POR,82,24.5,-0.59,2.09,1.50,5.61,86b79c95-1d2a-426a-a328-4069683029ba,10.31
64,Antawn Jamison,PF,WSH/CLE,66,36.5,1.52,-0.03,1.50,6.98,723063d2-7943-425a-b594-87715e7cb912,11.68
65,Kevin Love,PF,MIN,60,28.6,2.20,-0.73,1.47,5.23,2b2bcfdb-1fd0-4251-8a58-1c9bc6c4e887,9.93
66,Trevor Ariza,SF,HOU,72,36.5,0.66,0.81,1.47,7.76,b8f4ff28-eb77-4c7e-acda-23a2a01cdad8,12.46
67,Metta World Peace,SF,LAL,77,33.8,-0.74,2.18,1.44,7.48,670a19ff-960f-4b66-89c5-c438ef9dcd19,12.18
68,Gilbert Arenas,PG,WSH,32,36.5,3.82,-2.38,1.44,3.49,0a21b475-e840-4031-9c72-7b32c63c3721,8.190000000000001
69,James Harden,SG,OKC,76,22.9,0.21,1.20,1.42,5.02,5a4ef6ab-300d-469b-b1b5-a2aa94d3df73,9.719999999999999
70,Baron Davis,PG,LAC,75,33.6,2.43,-1.09,1.34,7.17,526e351a-8d16-41df-9162-83221df6ec56,11.870000000000001
71,Marcus Thornton,SG,NO,73,25.6,2.57,-1.26,1.32,5.27,f5e41156-8252-4816-8404-cc71849f20c9,9.969999999999999
72,Keyon Dooling,PG,NJ,53,18.3,-0.26,1.57,1.31,2.59,4c4e6fbd-c810-4691-b699-7dbc35c4ccc8,7.29
73,Pau Gasol,PF,LAL,65,37.0,1.55,-0.27,1.28,6.69,d0e5dfb2-54b8-4447-9abf-8d1e4d777fe1,11.39
74,Richard Jefferson,F,SA,81,31.1,-0.34,1.60,1.26,6.89,ae0878bd-1bac-4208-9e7f-77d7fd358a1f,11.59
75,Danilo Gallinari,PF,NY,81,33.9,0.99,0.26,1.24,7.63,52ec22d7-31a7-468e-ab3e-c75564694586,12.33
76,Ian Mahinmi,C,SA,26,6.3,0.84,0.40,1.23,0.47,215a3e5a-d149-43c5-be05-418373d61a57,5.17
77,Carlos Boozer,PF,UTAH,78,34.3,1.75,-0.59,1.16,7.50,ff148c20-a1b1-444c-9f51-c2f202a6a397,12.2
78,Chris Andersen,PF,DEN,76,22.3,-1.15,2.28,1.13,4.64,1c7a2c3b-e319-4c55-9294-2550d654cf28,9.34
79,CJ Miles,G,UTAH,63,23.8,0.49,0.62,1.12,4.12,142e13da-cb15-4178-8159-cf31e99e9694,8.82
80,Paul Millsap,PF,UTAH,82,27.8,0.26,0.85,1.11,6.31,16209d46-a478-4126-8230-fb91cea66f19,11.01
82,Nick Collison,F,OKC,75,20.8,-1.37,2.43,1.06,4.08,20b890b1-5852-4e93-afd5-192bc63a17e0,8.780000000000001
83,Channing Frye,F,PHX,81,27.0,1.48,-0.45,1.03,5.88,f521a6f7-c63d-4537-8b28-1de83ebf2dbe,10.58
84,Stephen Jackson,SF,GS/CHA,81,38.6,0.98,0.04,1.02,8.08,4d7bdc64-458a-4f2e-8e0c-0c510f10a81e,12.780000000000001
85,Rudy Fernandez,SG,POR,62,23.2,-0.86,1.85,0.99,3.54,4af3f512-b49c-4c7c-9d9f-35d38604c24c,8.24
86,Marcus Banks,PG,TOR,22,11.1,0.85,0.13,0.98,0.59,32c4ea5d-d2cb-41b0-9b43-28497e1fab0c,5.29
87,Dorell Wright,SF,MIA,72,20.8,-1.00,1.95,0.96,3.62,8d19fa58-5d7c-49eb-9712-a43a2d02db6d,8.32
88,Maurice Williams,PG,CLE,69,34.2,1.21,-0.27,0.94,5.93,,10.629999999999999
89,Predrag Stojakovic,SF,NO,62,31.4,-0.02,0.96,0.93,5.00,,9.7
90,Jose Calderon,G,TOR,68,26.7,2.42,-1.51,0.91,4.63,136a7b48-24ee-423a-957f-3fcabe686994,9.33
91,Brandon Jennings,G,MIL,82,32.6,1.03,-0.15,0.87,6.65,c8f72661-f57d-4985-bc87-3d2848a88d09,11.350000000000001
92,Jamal Crawford,G,ATL,79,31.1,3.58,-2.72,0.86,6.07,70633ba1-a422-425a-9f14-b65fc0aea757,10.77
93,Mike Bibby,PG,ATL,80,27.4,0.11,0.74,0.86,5.25,ce4021d2-8318-4b80-88c3-70c6b08f30ec,9.95
94,Jared Dudley,SF,PHX,82,24.3,0.40,0.42,0.82,5.03,f28ab262-881f-4675-8200-d5e15f93195e,9.73
95,Beno Udrih,PG,SAC,79,31.4,0.85,-0.06,0.79,6.08,0ddf56dc-9907-47ff-ab13-22e7c0ae2332,10.780000000000001
96,Shaquille O'Neal,C,CLE,53,23.4,0.30,0.49,0.79,2.97,4780ef7e-7c65-4ab0-b2ab-239f446cf97e,7.67
97,Jermaine O'Neal,C,MIA,70,28.4,-1.00,1.73,0.73,4.67,45cea8b4-0319-4aac-9f62-1dc0f13900e9,9.370000000000001
98,Anthony Randolph,SF,GS,33,22.7,-0.13,0.83,0.70,1.91,bf0e4e8b-ebe7-4fa2-8e9a-40c0e2fb46f1,6.61
99,Mehmet Okur,C,UTAH,73,29.4,0.22,0.48,0.70,5.23,3c96d879-acaf-4636-abd6-f55341079bcb,9.93
100,Rodrigue Beaubois,PG,DAL,56,12.5,2.80,-2.14,0.66,1.71,5ef56eb5-e898-4d06-bd88-ab9773620ce9,6.41
101,Ty Lawson,G,DEN,65,20.2,1.27,-0.62,0.65,3.19,edadd7b6-3363-471e-abe5-cde829856b76,7.890000000000001
102,Kyle Korver,G,UTAH,52,18.3,0.25,0.37,0.63,2.35,8803f3ad-893e-4541-ba72-7be494dbf1c4,7.050000000000001
103,Raymond Felton,G,CHA,80,33.0,-0.30,0.91,0.62,6.13,5b8b373b-0b23-48de-90d9-2d45dfc36349,10.83
104,DJ White,PF,OKC,12,8.5,0.28,0.33,0.61,0.24,,4.94
105,Anthony Tolliver,PF,POR/GS,46,31.0,0.98,-0.40,0.58,3.56,1a637e77-beea-4cf9-bcbf-c3161317210f,8.26
106,Aaron Brooks,G,HOU,82,35.6,2.50,-1.93,0.57,6.81,057c226a-33e5-4e89-aa24-6ea9fca8e8df,11.51
107,David Andersen,C,HOU,63,14.1,-0.57,1.14,0.57,2.04,76175a13-69bd-40fa-8910-fa6fa7c3a92d,6.74
108,Raja Bell,SG,CHA/GS,6,30.0,0.36,0.21,0.56,0.40,cde9e15c-aad3-42e1-9cc2-24d8f8eeb530,5.1000000000000005
109,Rodney Carney,SG,PHI,68,12.6,0.14,0.42,0.56,1.95,6859ace3-bd24-41e2-b6c1-6ec5eca6a0b5,6.65
110,Jordan Farmar,PG,LAL,82,18.0,-0.22,0.76,0.55,3.34,a359f19d-03f0-4f57-bffb-b2953c63de15,8.04
111,Luke Ridnour,PG,MIL,82,21.5,2.05,-1.51,0.54,4.03,a5863df0-fc34-44d6-b6cc-29cafb446dd6,8.73
112,Delonte West,SG,CLE,60,25.0,-1.11,1.64,0.53,3.34,53f3fc32-3d83-4c2a-b5d0-0681601e633d,8.04
113,Carl Landry,PF,HOU/SAC,80,30.9,-0.28,0.78,0.50,5.55,a0775fb8-6ab9-492c-8641-6fac0dab6953,10.25
114,George Hill,PG,SA,78,29.2,0.18,0.29,0.47,5.06,c5b9f92b-8034-4815-ae8f-041729580eed,9.76
115,Roger Mason,SG,SA,79,19.2,-0.68,1.13,0.46,3.38,,8.08
116,Russell Westbrook,PG,OKC,82,34.3,1.98,-1.55,0.43,6.30,1dc36313-c835-4a5d-b3f4-2cc5ba66d82e,11.0
117,Andray Blatche,C,WSH,81,27.9,-0.60,1.01,0.41,4.90,6bebc7ba-fabc-4333-8834-fb1ffb444650,9.600000000000001
118,Jonas Jerebko,F,DET,80,27.9,-1.69,2.09,0.41,4.64,8f62e2e6-4b2e-4f4a-bf84-ffde3efa5e2f,9.34
119,Paul Pierce,SF,BOS,71,34.0,0.94,-0.55,0.39,5.24,ead63c29-2988-478d-b595-6060f10983e0,9.940000000000001
120,Eddie House,SG,BOS/NY,68,17.9,-0.40,0.78,0.38,2.62,407617b8-808d-4301-a467-48864820a47e,7.32
121,Wilson Chandler,F,NY,65,35.7,-0.68,1.06,0.38,5.06,9eea52e7-851e-4b26-87cb-f7e6ff9dd2fe,9.76
123,Tyrus Thomas,PF,CHI/CHA,54,22.6,-1.85,2.22,0.37,2.67,73ac9951-5753-4bf4-b3a6-0b44fa93dc80,7.37
124,Stephen Graham,SF,CHA,70,11.5,-1.95,2.27,0.33,1.67,0120041c-7006-465c-b1ac-a19c117f10e8,6.37
125,Elton Brand,PF,PHI,76,30.2,-1.29,1.61,0.32,4.75,992a6106-25bb-4542-a824-1ab30a90ff3a,9.45
126,Roy Hibbert,C,IND,81,25.1,-0.33,0.64,0.32,4.44,9b8fc7fc-b2da-4fae-b6a6-8939fc478a0a,9.14
127,Luol Deng,F,CHI,70,37.9,-0.40,0.71,0.31,5.69,8fc3eccc-a295-4ff3-84aa-59e2f2695930,10.39
128,Ronny Turiaf,C,GS,42,20.8,-0.96,1.23,0.27,1.99,f474b617-4a96-4c30-9cb2-00eaac8c688f,6.69
129,Ronald Murray,SG,CHA/CHI,75,22.3,0.06,0.20,0.26,3.50,3a06f31a-0b13-46ba-8c97-f9a3fab09643,8.2
130,Leandro Barbosa,G,PHX,44,17.9,2.27,-2.02,0.25,1.72,d5e4a8c9-8695-429f-84c0-c83d674b4c39,6.42
131,Robin Lopez,C,PHX,51,19.3,0.24,0.00,0.25,2.11,786e0a8c-81bc-4ac8-aff3-9bf4ba92e3c0,6.8100000000000005
