,player,pos,team,gp,mpg,orpm,drpm,rpm,wins,uuid,adjusted_wins
0,Chris Paul,PG,LAC,62,35.0,4.58,3.89,8.47,17.24,40b1fb2d-fa62-4821-ad86-82eb61726f8c,20.419999999999998
1,Stephen Curry,PG,GS,78,36.5,7.79,-1.26,6.53,18.76,9c7a1a07-4978-474c-b472-3cb227f9e4cf,21.94
2,Kevin Durant,PF,OKC,81,38.5,6.17,-0.30,5.87,18.86,5dde60a0-ddd0-444a-a30d-af49c13df613,22.04
3,James Harden,SG,HOU,73,38.0,6.00,-0.55,5.45,16.13,5a4ef6ab-300d-469b-b1b5-a2aa94d3df73,19.31
4,Dirk Nowitzki,F,DAL,80,32.9,3.43,1.87,5.30,14.54,41454901-7576-4ff8-89a6-6763f727d2d8,17.72
5,LeBron James,SF,MIA,77,37.7,6.13,-0.89,5.25,15.56,bedcfe40-c385-484d-85bc-e13eb14254ca,18.740000000000002
6,Kyle Lowry,PG,TOR,79,36.2,3.90,0.96,4.86,14.64,09855ef9-5497-4128-8dc1-db0500f2491e,17.82
7,Kevin Love,PF,MIN,77,36.3,5.34,-0.95,4.39,14.28,2b2bcfdb-1fd0-4251-8a58-1c9bc6c4e887,17.46
8,Patrick Mills,PG,SA,81,18.9,2.95,1.33,4.28,7.35,,10.53
9,Kawhi Leonard,SF,SA,66,29.1,1.36,2.87,4.23,9.25,bb8bd3e8-4f7b-4762-b826-6ec2afcb7028,12.43
10,Danny Green,F,SA,68,24.3,1.38,2.81,4.19,7.85,bd88d7f7-4a74-408f-820c-ea299f764b71,11.03
11,Goran Dragic,PG,PHX,76,35.1,3.68,0.47,4.15,12.78,dc0edf7c-2ffc-499d-887c-f5177f69cad7,15.959999999999999
12,Paul George,F,IND,80,36.2,0.92,3.20,4.12,13.32,b39db48f-c114-4524-993d-2be28eda83a9,16.5
13,Manu Ginobili,G,SA,68,22.8,5.14,-1.08,4.06,7.41,d4a0b468-3ec5-4ecb-b94e-f1565f1af651,10.59
14,Carmelo Anthony,PF,NY,77,38.7,2.41,1.59,4.00,13.26,5aba723b-d598-4f57-ad9d-66759ddbc5bf,16.439999999999998
