,player,pos,age,tm,g,gs,mp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,uuid,year
0,Shareef Abdur-Rahim,PF,31,SAC,6,0,51,3,14,0.214,0,0,0.0,3,14,0.214,0.214,4,4,1.0,6,4,10,4,1,0,1,9,10,fe3dd58a-1354-44f3-8d09-e6c39cb1cca5,2007
1,Arron Afflalo,SG,22,DET,75,9,970,99,241,0.411,10,48,0.208,89,193,0.461,0.432,68,87,0.782,36,101,137,52,31,8,34,83,276,ec6bea36-d8d2-44de-a5ec-2744c582ed2a,2007
2,Maurice Ager,SG,23,TOT,26,3,165,21,65,0.323,3,19,0.158,18,46,0.391,0.346,6,12,0.5,4,9,13,8,0,1,6,17,51,3190a76e-2568-4aab-b5ce-43fbee1e101b,2007
3,Blake Ahearn,PG,23,MIA,12,0,177,15,57,0.263,10,34,0.294,5,23,0.217,0.351,30,31,0.968,1,18,19,19,6,0,16,20,70,9959c95a-7452-411f-a0c8-42daba732431,2007
4,LaMarcus Aldridge,PF,22,POR,76,76,2649,561,1160,0.484,1,7,0.143,560,1153,0.486,0.484,227,298,0.762,220,358,578,122,55,94,126,240,1350,8e44a15c-b4d5-4dfe-bdf7-b86931475b32,2007
5,Malik Allen,PF,29,TOT,73,16,1096,157,327,0.48,1,2,0.5,156,325,0.48,0.482,23,25,0.92,66,130,196,44,19,31,45,149,338,6c881a9f-326a-4c7c-8b77-64040bbf30b8,2007
6,Ray Allen,SG,32,BOS,73,73,2624,439,986,0.445,180,452,0.398,259,534,0.485,0.537,215,237,0.907,75,193,268,225,65,16,127,147,1273,d0df9ea6-dc69-4d3d-9311-41a1fdebad9c,2007
7,Tony Allen,SG,26,BOS,75,11,1373,169,389,0.434,18,57,0.316,151,332,0.455,0.458,138,181,0.762,34,134,168,114,62,21,109,168,494,917674b3-1b6e-48ed-8d3b-f9161c1ea734,2007
8,Morris Almond,SG,22,UTA,9,0,39,4,15,0.267,1,4,0.25,3,11,0.273,0.3,4,6,0.667,0,2,2,3,1,0,2,5,13,f2fa73f9-6841-496d-9086-6ee8fc1892e1,2007
9,Rafer Alston,PG,31,HOU,74,74,2526,364,924,0.394,143,407,0.351,221,517,0.427,0.471,98,137,0.715,28,232,260,392,98,18,160,139,969,ee905b13-ef4f-4bb4-9dd7-a8bf290c289a,2007
10,Chris Andersen,C,29,NOH,5,0,34,2,7,0.286,0,0,0.0,2,7,0.286,0.286,2,4,0.5,2,7,9,0,0,4,1,6,6,1c7a2c3b-e319-4c55-9294-2550d654cf28,2007
