,player,pos,age,tm,g,gs,mp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,uuid,year
0,Quincy Acy,PF,24,NYK,68,22,1287,152,331,0.459,18,60,0.3,134,271,0.494,0.486,76,97,0.784,79,222,301,68,27,22,60,147,398,c20b4205-9a25-4dc9-9dd1-bf4aff7f9965,2014
1,Jordan Adams,SG,20,MEM,30,0,248,35,86,0.407,10,25,0.4,25,61,0.41,0.465,14,23,0.609,9,19,28,16,16,7,14,24,94,51b2e112-32d7-408a-a70b-61191890ab15,2014
2,Steven Adams,C,21,OKC,70,67,1771,217,399,0.544,0,2,0.0,217,397,0.547,0.544,103,205,0.502,199,324,523,66,38,86,99,222,537,02815787-f72f-4342-874d-4a5588d6e030,2014
3,Jeff Adrien,PF,28,MIN,17,0,215,19,44,0.432,0,0,0.0,19,44,0.432,0.432,22,38,0.579,23,54,77,15,4,9,9,30,60,85c658a1-dc55-4351-99b4-45d3f2dd5401,2014
4,Arron Afflalo,SG,29,TOT,78,72,2502,375,884,0.424,118,333,0.354,257,551,0.466,0.491,167,198,0.843,27,220,247,129,41,7,116,167,1035,ec6bea36-d8d2-44de-a5ec-2744c582ed2a,2014
5,Furkan Aldemir,PF,23,PHI,41,9,540,40,78,0.513,0,5,0.0,40,73,0.548,0.513,13,27,0.481,78,98,176,28,17,16,17,96,93,286405c9-4188-4ec9-b6c4-1f0af55055f5,2014
6,Cole Aldrich,C,26,NYK,61,16,976,144,301,0.478,0,0,0.0,144,301,0.478,0.478,50,64,0.781,101,237,338,75,37,65,59,122,338,3ff71c2e-5c34-4fea-9397-4b388c369ace,2014
7,LaMarcus Aldridge,PF,29,POR,71,71,2512,659,1415,0.466,37,105,0.352,622,1310,0.475,0.479,306,362,0.845,177,549,726,124,48,68,122,125,1661,8e44a15c-b4d5-4dfe-bdf7-b86931475b32,2014
8,Lavoy Allen,C,25,IND,63,0,1070,141,299,0.472,0,0,0.0,141,299,0.472,0.472,33,47,0.702,123,200,323,73,15,42,40,102,315,255d5c9d-b8a6-4464-8953-390ea122c4ad,2014
9,Tony Allen,SG,33,MEM,63,41,1648,225,455,0.495,10,29,0.345,215,426,0.505,0.505,79,126,0.627,103,177,280,86,129,30,86,166,539,917674b3-1b6e-48ed-8d3b-f9161c1ea734,2014
10,Al-Farouq Aminu,SF,24,DAL,74,3,1366,147,357,0.412,34,124,0.274,113,233,0.485,0.459,84,118,0.712,114,228,342,59,70,62,55,137,412,19d25609-3918-439a-ad70-056b94fb1549,2014
11,Chris Andersen,C,36,MIA,60,20,1132,120,207,0.58,4,13,0.308,116,194,0.598,0.589,76,114,0.667,76,223,299,43,26,61,40,88,320,1c7a2c3b-e319-4c55-9294-2550d654cf28,2014
12,Alan Anderson,SG,32,BRK,74,19,1744,195,440,0.443,73,210,0.348,122,230,0.53,0.526,82,101,0.812,31,173,204,83,56,5,60,148,545,1d9066a3-1c81-4ecf-9186-bccb97a0348e,2014
13,Kyle Anderson,SF,21,SAS,33,8,358,31,89,0.348,3,11,0.273,28,78,0.359,0.365,9,14,0.643,5,67,72,28,15,7,10,28,74,1b8a6c65-76b2-4a4f-81c6-efd4c9eba9ea,2014
14,Ryan Anderson,PF,26,NOP,61,5,1675,291,729,0.399,122,359,0.34,169,370,0.457,0.483,129,151,0.854,108,187,295,55,33,20,62,113,833,4c9e8daf-3859-4085-9024-b00a4aeec6c5,2014
15,Giannis Antetokounmpo,SG,20,MIL,81,71,2541,383,780,0.491,7,44,0.159,376,736,0.511,0.496,257,347,0.741,100,442,542,207,73,85,173,254,1030,0a5638ef-6f1d-4b38-aafe-5364e228598f,2014
16,Carmelo Anthony,SF,30,NYK,40,40,1428,358,806,0.444,61,179,0.341,297,627,0.474,0.482,189,237,0.797,72,192,264,122,40,17,89,87,966,5aba723b-d598-4f57-ad9d-66759ddbc5bf,2014
17,Joel Anthony,C,32,DET,49,0,406,36,62,0.581,0,0,0.0,36,62,0.581,0.581,15,22,0.682,32,61,93,5,12,49,12,55,87,a3d3de35-1a4a-4198-a811-3b22d986fb54,2014
18,Trevor Ariza,SF,29,HOU,82,82,2930,366,910,0.402,194,555,0.35,172,355,0.485,0.509,122,143,0.853,77,382,459,209,152,17,141,186,1048,b8f4ff28-eb77-4c7e-acda-23a2a01cdad8,2014
19,Darrell Arthur,PF,26,DEN,58,4,988,155,384,0.404,26,110,0.236,129,274,0.471,0.438,46,59,0.78,53,118,171,57,48,26,47,146,382,11e3631c-7366-45a9-802b-0d08cee203a5,2014
20,Jeff Ayres,PF,27,SAS,51,0,383,55,95,0.579,0,0,0.0,55,95,0.579,0.579,27,36,0.75,37,80,117,14,8,8,26,60,137,d265bd90-ecca-4dfc-86d6-a3e514c1dd87,2014
21,Luke Babbitt,SF,25,NOP,63,19,830,92,192,0.479,59,115,0.513,33,77,0.429,0.633,13,19,0.684,12,99,111,24,17,11,26,63,256,4a674003-3498-4f64-8ab9-c1754c1289e8,2014
22,Cameron Bairstow,PF,24,CHI,18,1,64,3,14,0.214,0,0,0.0,3,14,0.214,0.214,4,5,0.8,6,2,8,1,2,1,3,8,10,d201c2f7-70e8-487a-838b-41f07db98178,2014
23,Leandro Barbosa,SG,32,GSW,66,1,982,183,386,0.474,43,112,0.384,140,274,0.511,0.53,58,74,0.784,23,68,91,99,41,8,44,87,467,d5e4a8c9-8695-429f-84c0-c83d674b4c39,2014
24,Andrea Bargnani,C,29,NYK,29,22,785,164,361,0.454,15,41,0.366,149,320,0.466,0.475,87,107,0.813,32,95,127,46,2,27,42,53,430,7e4026de-4aa5-4497-9b9d-634a3a739dbc,2014
