,player,pos,age,tm,g,gs,mp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,uuid,year
0,Jeff Adrien,PF,24,GSW,23,0,196,23,54,0.426,0,0,0.0,23,54,0.426,0.426,11,19,0.579,23,35,58,10,4,5,9,28,57,85c658a1-dc55-4351-99b4-45d3f2dd5401,2010
1,Arron Afflalo,SG,25,DEN,69,69,2324,312,627,0.498,105,248,0.423,207,379,0.546,0.581,138,163,0.847,45,206,251,168,34,31,71,153,867,ec6bea36-d8d2-44de-a5ec-2744c582ed2a,2010
2,Maurice Ager,SG,26,MIN,4,0,29,6,11,0.545,3,4,0.75,3,7,0.429,0.682,0,0,0.0,0,2,2,1,1,0,4,4,15,3190a76e-2568-4aab-b5ce-43fbee1e101b,2010
3,Solomon Alabi,C,22,TOR,12,0,59,3,15,0.2,0,0,0.0,3,15,0.2,0.2,0,2,0.0,7,7,14,2,2,2,3,5,6,0242e487-33df-4afd-8ec1-adc766e5153f,2010
4,Cole Aldrich,C,22,OKC,18,0,142,8,15,0.533,0,0,0.0,8,15,0.533,0.533,2,4,0.5,13,22,35,4,5,7,8,30,18,3ff71c2e-5c34-4fea-9397-4b388c369ace,2010
5,LaMarcus Aldridge,PF,25,POR,81,81,3211,707,1415,0.5,4,23,0.174,703,1392,0.505,0.501,351,444,0.791,278,431,709,170,82,94,153,220,1769,8e44a15c-b4d5-4dfe-bdf7-b86931475b32,2010
6,Malik Allen,PF,32,ORL,18,0,178,11,31,0.355,0,0,0.0,11,31,0.355,0.355,1,2,0.5,12,20,32,4,1,4,3,30,23,6c881a9f-326a-4c7c-8b77-64040bbf30b8,2010
7,Tony Allen,SG,29,MEM,72,31,1494,251,492,0.51,4,23,0.174,247,469,0.527,0.514,137,182,0.753,70,123,193,104,129,44,86,161,643,917674b3-1b6e-48ed-8d3b-f9161c1ea734,2010
8,Al-Farouq Aminu,SF,20,LAC,81,14,1452,160,406,0.394,45,143,0.315,115,263,0.437,0.45,92,119,0.773,75,192,267,60,59,25,103,121,457,19d25609-3918-439a-ad70-056b94fb1549,2010
9,Chris Andersen,C,32,DEN,45,0,732,82,137,0.599,0,1,0.0,82,136,0.603,0.599,86,135,0.637,75,144,219,20,23,58,25,79,250,1c7a2c3b-e319-4c55-9294-2550d654cf28,2010
10,David Andersen,PF,30,TOT,40,0,373,56,121,0.463,8,23,0.348,48,98,0.49,0.496,14,22,0.636,20,64,84,13,5,9,22,40,134,76175a13-69bd-40fa-8910-fa6fa7c3a92d,2010
11,James Anderson,SF,21,SAS,26,2,286,31,81,0.383,18,46,0.391,13,35,0.371,0.494,14,18,0.778,2,21,23,18,3,6,13,24,94,b6ab2047-c697-44d5-a34c-9da9f204c0f8,2010
12,Ryan Anderson,PF,22,ORL,64,14,1424,226,525,0.43,134,341,0.393,92,184,0.5,0.558,95,117,0.812,129,226,355,52,30,38,49,137,681,4c9e8daf-3859-4085-9024-b00a4aeec6c5,2010
13,Carmelo Anthony,SF,26,TOT,77,77,2751,684,1503,0.455,95,251,0.378,589,1252,0.47,0.487,507,605,0.838,118,445,563,221,68,46,206,224,1970,5aba723b-d598-4f57-ad9d-66759ddbc5bf,2010
14,Joel Anthony,C,28,MIA,75,11,1463,53,99,0.535,0,0,0.0,53,99,0.535,0.535,47,73,0.644,104,162,266,24,10,93,36,194,153,a3d3de35-1a4a-4198-a811-3b22d986fb54,2010
