,player,pos,age,tm,g,gs,mp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,uuid,year
0,Quincy Acy,PF,26,TOT,38,1,558,70,170,0.412,37,90,0.411,33,80,0.413,0.521,45,60,0.75,20,95,115,18,14,15,21,67,222,c20b4205-9a25-4dc9-9dd1-bf4aff7f9965,2016
1,Steven Adams,C,23,OKC,80,80,2389,374,655,0.571,0,1,0.0,374,654,0.572,0.571,157,257,0.611,281,332,613,86,89,78,146,195,905,02815787-f72f-4342-874d-4a5588d6e030,2016
2,Arron Afflalo,SG,31,SAC,61,45,1580,185,420,0.44,62,151,0.411,123,269,0.457,0.514,83,93,0.892,9,116,125,78,21,6,42,104,515,ec6bea36-d8d2-44de-a5ec-2744c582ed2a,2016
3,Cole Aldrich,C,28,MIN,62,0,531,45,86,0.523,0,0,0.0,45,86,0.523,0.523,15,22,0.682,51,107,158,25,25,23,17,85,105,3ff71c2e-5c34-4fea-9397-4b388c369ace,2016
4,LaMarcus Aldridge,PF,31,SAS,72,72,2335,500,1049,0.477,23,56,0.411,477,993,0.48,0.488,220,271,0.812,172,351,523,139,46,88,98,158,1243,8e44a15c-b4d5-4dfe-bdf7-b86931475b32,2016
5,Lavoy Allen,PF,27,IND,61,5,871,77,168,0.458,0,1,0.0,77,167,0.461,0.458,23,33,0.697,105,114,219,57,18,24,29,78,177,255d5c9d-b8a6-4464-8953-390ea122c4ad,2016
6,Tony Allen,SG,35,MEM,71,66,1914,274,595,0.461,15,54,0.278,259,541,0.479,0.473,80,130,0.615,166,225,391,98,115,29,100,178,643,917674b3-1b6e-48ed-8d3b-f9161c1ea734,2016
7,Al-Farouq Aminu,PF,26,POR,61,25,1773,183,466,0.393,70,212,0.33,113,254,0.445,0.468,96,136,0.706,77,374,451,99,60,44,94,102,532,19d25609-3918-439a-ad70-056b94fb1549,2016
8,Chris Andersen,C,38,CLE,12,0,114,9,22,0.409,0,3,0.0,9,19,0.474,0.409,10,14,0.714,9,22,31,5,5,7,5,20,28,1c7a2c3b-e319-4c55-9294-2550d654cf28,2016
9,Alan Anderson,SF,34,LAC,30,0,308,30,80,0.375,14,44,0.318,16,36,0.444,0.463,12,16,0.75,3,21,24,11,3,0,7,35,86,1d9066a3-1c81-4ecf-9186-bccb97a0348e,2016
10,Justin Anderson,SF,23,TOT,75,10,1228,186,439,0.424,58,194,0.299,128,245,0.522,0.49,102,129,0.791,69,176,245,66,41,23,66,109,532,53d2fbf3-811c-438f-a842-716777cd3570,2016
11,Kyle Anderson,SF,23,SAS,72,14,1020,93,209,0.445,15,40,0.375,78,169,0.462,0.481,45,57,0.789,33,175,208,91,51,26,39,63,246,1b8a6c65-76b2-4a4f-81c6-efd4c9eba9ea,2016
12,Ryan Anderson,PF,28,HOU,72,72,2116,323,773,0.418,204,506,0.403,119,267,0.446,0.55,129,150,0.86,112,218,330,68,31,14,55,142,979,4c9e8daf-3859-4085-9024-b00a4aeec6c5,2016
13,Giannis Antetokounmpo,SF,22,MIL,80,80,2845,656,1259,0.521,49,180,0.272,607,1079,0.563,0.541,471,612,0.77,142,558,700,434,131,151,234,246,1832,0a5638ef-6f1d-4b38-aafe-5364e228598f,2016
14,Carmelo Anthony,SF,32,NYK,74,74,2538,602,1389,0.433,151,421,0.359,451,968,0.466,0.488,304,365,0.833,62,376,438,213,60,34,153,198,1659,5aba723b-d598-4f57-ad9d-66759ddbc5bf,2016
15,Joel Anthony,C,34,SAS,19,0,122,10,16,0.625,0,0,0.0,10,16,0.625,0.625,5,8,0.625,8,23,31,3,2,6,4,11,25,a3d3de35-1a4a-4198-a811-3b22d986fb54,2016
16,Trevor Ariza,SF,31,HOU,80,80,2773,326,798,0.409,191,555,0.344,135,243,0.556,0.528,93,126,0.738,54,404,458,175,147,20,73,133,936,b8f4ff28-eb77-4c7e-acda-23a2a01cdad8,2016
17,Darrell Arthur,PF,28,DEN,41,7,639,95,215,0.442,53,117,0.453,42,98,0.429,0.565,19,22,0.864,25,87,112,42,19,21,36,76,262,11e3631c-7366-45a9-802b-0d08cee203a5,2016
