,player,pos,age,tm,g,gs,mp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,uuid,year
42,Andray Blatche,PF,25,WAS,26,13,626,93,245,0.38,2,7,0.286,91,238,0.382,0.384,33,49,0.673,42,108,150,28,20,17,37,54,221,6bebc7ba-fabc-4333-8834-fb1ffb444650,2011
43,Eric Bledsoe,PG,22,LAC,40,1,464,49,126,0.389,6,30,0.2,43,96,0.448,0.413,28,44,0.636,22,43,65,66,31,14,47,58,132,b2828eae-b187-41af-a5a3-bd57bd65e462,2011
44,Keith Bogans,SF,31,NJN,5,1,94,8,21,0.381,3,12,0.25,5,9,0.556,0.452,2,5,0.4,5,6,11,3,2,0,3,15,21,8c954282-64f2-4b29-be3a-f613f4999a3f,2011
45,Andrew Bogut,C,27,MIL,12,12,364,61,136,0.449,0,1,0.0,61,135,0.452,0.449,14,23,0.609,22,78,100,31,12,24,24,36,136,d96147fc-88ce-422f-b440-0fc011fac2d5,2011
46,Matt Bonner,PF,31,SAS,65,2,1326,154,350,0.44,105,250,0.42,49,100,0.49,0.59,16,21,0.762,29,185,214,61,15,21,14,68,429,7c5e0d90-00bf-420b-b0a3-f3dfbf105d1a,2011
47,Trevor Booker,PF,24,WAS,50,32,1261,181,341,0.531,1,2,0.5,180,339,0.531,0.532,56,93,0.602,119,206,325,40,48,43,58,138,419,d5f09cea-07f6-40ba-975a-cfa51abe9243,2011
48,Carlos Boozer,PF,30,CHI,66,66,1948,448,842,0.532,0,1,0.0,448,841,0.533,0.532,95,137,0.693,114,450,564,125,63,24,115,168,991,ff148c20-a1b1-444c-9f51-c2f202a6a397,2011
49,Chris Bosh,PF,27,MIA,57,57,2007,393,807,0.487,10,35,0.286,383,772,0.496,0.493,229,279,0.821,94,358,452,103,51,45,117,128,1025,ce7ae779-d64a-4736-86b2-4184fd5871fb,2011
50,Earl Boykins,PG,35,HOU,8,0,111,12,36,0.333,2,9,0.222,10,27,0.37,0.361,13,15,0.867,0,11,11,17,1,0,7,5,39,f926e81f-3df9-4cc8-8885-1a5cb77ece58,2011
51,Craig Brackins,PF,24,PHI,14,1,88,9,33,0.273,3,9,0.333,6,24,0.25,0.318,1,2,0.5,5,10,15,8,0,1,4,6,22,3bda7b83-f583-4217-aa9b-799b222bc172,2011
52,Avery Bradley,PG,21,BOS,64,28,1368,200,402,0.498,22,54,0.407,178,348,0.511,0.525,62,78,0.795,34,81,115,87,43,12,75,109,484,ee7f61e9-4194-4c16-a34c-c0b87063ebe2,2011
53,Elton Brand,C,32,PHI,60,60,1732,287,581,0.494,0,1,0.0,287,580,0.495,0.494,85,116,0.733,145,284,429,97,58,97,65,176,659,992a6106-25bb-4542-a824-1ab30a90ff3a,2011
54,Corey Brewer,SF,25,DEN,59,17,1287,201,463,0.434,33,127,0.26,168,336,0.5,0.47,90,130,0.692,43,107,150,88,72,17,56,113,525,100fd516-b358-4452-97ae-b8d77d2194f3,2011
55,Ronnie Brewer,SG,26,CHI,66,43,1635,190,445,0.427,19,69,0.275,171,376,0.455,0.448,56,100,0.56,72,159,231,137,72,21,59,64,455,e356dfc0-eb85-446c-817e-02a411ac1c1d,2011
56,Jon Brockman,PF,24,MIL,35,0,239,15,45,0.333,0,1,0.0,15,44,0.341,0.333,7,15,0.467,33,42,75,9,4,1,10,33,37,58af1384-7e52-4cf8-8d63-aa6611fe2e3d,2011
57,MarShon Brooks,SG,23,NJN,56,47,1648,274,640,0.428,47,150,0.313,227,490,0.463,0.465,113,148,0.764,70,130,200,131,52,15,118,116,708,2d78c4f6-be78-4afc-931d-f4a81a9494c9,2011
58,Derrick Brown,SF,24,CHA,65,17,1443,212,409,0.518,6,24,0.25,206,385,0.535,0.526,94,141,0.667,95,141,236,67,48,12,55,96,524,454cf071-4c39-4456-a4b7-98a44fd348c4,2011
59,Kwame Brown,C,29,GSW,9,3,187,21,40,0.525,0,0,0.0,21,40,0.525,0.525,15,34,0.441,16,41,57,4,8,0,14,21,57,ee2a70fa-8405-4932-9ab5-d18c723217bb,2011
60,Shannon Brown,SG,26,PHO,59,19,1400,251,598,0.42,68,188,0.362,183,410,0.446,0.477,80,99,0.808,38,119,157,69,44,15,64,66,650,522f50e0-a99e-424a-b7bb-4a10a98e5c56,2011
61,Kobe Bryant,SG,33,LAL,58,58,2232,574,1336,0.43,87,287,0.303,487,1049,0.464,0.462,381,451,0.845,66,247,313,264,69,18,204,105,1616,825ab381-2ad5-4685-98b9-93b318bd37da,2011
62,Chase Budinger,SF,23,HOU,58,9,1298,208,471,0.442,88,219,0.402,120,252,0.476,0.535,54,70,0.771,38,179,217,74,29,7,55,65,558,34bb419e-c14d-474e-b2df-28944f5c02aa,2011
63,Alec Burks,SG,20,UTA,59,0,939,153,357,0.429,15,45,0.333,138,312,0.442,0.45,104,143,0.727,57,75,132,55,27,5,51,84,425,3e67fd39-1842-4278-90b8-4a81237af8a5,2011
64,Caron Butler,SF,31,LAC,63,63,1871,287,705,0.407,92,257,0.358,195,448,0.435,0.472,87,107,0.813,44,186,230,78,52,9,77,123,753,b9856f28-e40d-41b5-b3b9-1e191f7460b2,2011
65,Jimmy Butler,SG,22,CHI,42,0,359,32,79,0.405,2,11,0.182,30,68,0.441,0.418,43,56,0.768,23,33,56,14,11,5,14,20,109,5cbc01e2-a4cf-428d-9696-0be12d360f30,2011
66,Rasual Butler,SF,32,TOR,34,14,453,41,133,0.308,21,77,0.273,20,56,0.357,0.387,7,12,0.583,6,60,66,19,7,5,15,39,110,58c5e74e-a940-4c9b-bf4e-81b4c3fb24ce,2011
67,Andrew Bynum,C,24,LAL,60,60,2112,444,796,0.558,1,5,0.2,443,791,0.56,0.558,234,338,0.692,192,517,709,85,27,116,152,104,1123,14bbb9e0-f7bd-445a-97ef-29c1ae7dae2c,2011
68,Will Bynum,PG,29,DET,36,0,514,74,194,0.381,7,29,0.241,67,165,0.406,0.399,49,64,0.766,10,46,56,66,23,3,54,61,204,5123cac4-cc2b-471d-a1f9-1597f49753dd,2011
69,Marcus Camby,C,37,TOT,59,53,1352,128,287,0.446,2,5,0.4,126,282,0.447,0.449,29,64,0.453,157,373,530,107,50,85,57,126,287,daabe87b-5399-40dc-9a97-5c08300da5a5,2011
70,Brian Cardinal,SF,34,DAL,44,0,277,14,55,0.255,10,49,0.204,4,6,0.667,0.345,5,6,0.833,4,30,34,16,8,2,8,38,43,08533fc6-e4a2-4e07-8785-e3987f094b8c,2011
71,DeMarre Carroll,SF-PF,25,TOT,24,9,348,43,105,0.41,7,19,0.368,36,86,0.419,0.443,14,16,0.875,28,25,53,18,12,1,11,37,107,bd1ced90-d570-4d1e-98b6-3b1ddfba94fb,2011
72,Matt Carroll,SG,31,CHA,53,2,596,52,157,0.331,8,43,0.186,44,114,0.386,0.357,30,38,0.789,8,50,58,38,16,7,24,52,142,b802b148-2864-4cbd-9118-dbab3b3baf4e,2011
73,Anthony Carter,PG,36,TOR,24,0,209,17,53,0.321,5,17,0.294,12,36,0.333,0.368,8,10,0.8,5,28,33,34,8,4,17,20,47,72207067-db52-4aa0-8f3f-4b88d7a7f5f2,2011
74,Vince Carter,SG,35,DAL,61,40,1542,223,542,0.411,74,205,0.361,149,337,0.442,0.48,95,115,0.826,32,173,205,139,56,25,84,134,615,96046c84-d179-44f1-976e-f81afa46108f,2011
75,Omri Casspi,SF,23,CLE,65,35,1341,166,412,0.403,53,168,0.315,113,244,0.463,0.467,74,108,0.685,63,165,228,66,37,21,64,115,459,d01ed97d-a653-4fdc-989b-16857f353c85,2011
76,Mario Chalmers,PG,25,MIA,64,64,1825,223,498,0.448,101,260,0.388,122,238,0.513,0.549,80,101,0.792,16,155,171,222,97,11,142,166,627,2b64f7fc-1e1e-4f9b-ae76-4f06d31b211c,2011
77,Tyson Chandler,C,29,NYK,62,62,2061,241,355,0.679,0,2,0.0,241,353,0.683,0.679,217,315,0.689,212,400,612,56,56,89,102,186,699,0c588c9f-a494-458c-977d-9bb060491882,2011
78,Wilson Chandler,SF,24,DEN,8,6,215,31,79,0.392,3,12,0.25,28,67,0.418,0.411,10,12,0.833,6,35,41,17,6,6,18,18,75,9eea52e7-851e-4b26-87cb-f7e6ff9dd2fe,2011
79,Josh Childress,SF,28,PHO,34,0,491,48,99,0.485,4,24,0.167,44,75,0.587,0.505,0,2,0.0,31,64,95,34,14,6,9,38,100,863ac23b-596e-41f3-a2b9-efb4e7c53928,2011
80,Earl Clark,PF,24,ORL,45,1,559,51,139,0.367,0,0,0.0,51,139,0.367,0.367,21,29,0.724,35,89,124,18,12,32,25,72,123,e5d84e8e-3bc9-4122-9975-2045fe73427a,2011
81,Norris Cole,PG,23,MIA,65,2,1260,177,450,0.393,21,76,0.276,156,374,0.417,0.417,66,85,0.776,21,70,91,133,44,2,105,124,441,9d5b9a4f-94ad-45b9-b5b9-36dd6e3074bb,2011
82,Jason Collins,C,33,ATL,30,10,308,16,40,0.4,0,0,0.0,16,40,0.4,0.4,7,15,0.467,12,36,48,10,4,3,10,34,39,5ae0a7d9-e8f2-478a-ae15-40b84ac4730e,2011
83,Darren Collison,PG,24,IND,60,56,1878,230,523,0.44,34,94,0.362,196,429,0.457,0.472,127,153,0.83,30,157,187,287,49,14,114,101,621,49303ecb-8557-41e4-a43c-09b5d24edecd,2011
84,Nick Collison,PF,31,OKC,63,0,1307,120,201,0.597,0,1,0.0,120,200,0.6,0.597,44,62,0.71,119,155,274,82,33,28,61,153,284,20b890b1-5852-4e93-afd5-192bc63a17e0,2011
85,Mike Conley,PG,24,MEM,62,61,2174,296,684,0.433,60,159,0.377,236,525,0.45,0.477,136,158,0.861,22,134,156,404,136,11,125,133,788,ebc02828-465d-4985-90df-4facae97337a,2011
86,Brian Cook,PF,31,TOT,32,0,276,31,98,0.316,10,50,0.2,21,48,0.438,0.367,9,10,0.9,10,53,63,10,6,5,11,48,81,e6a5c010-7607-44bf-81f9-3c5b80e9a264,2011
87,Daequan Cook,SG,24,OKC,57,22,989,109,296,0.368,79,228,0.346,30,68,0.441,0.502,14,22,0.636,12,110,122,15,22,11,16,69,311,38a9e8cb-ddb5-4c15-b2c0-77f937bb270e,2011
88,DeMarcus Cousins,C,21,SAC,64,62,1950,448,999,0.448,2,14,0.143,446,985,0.453,0.449,262,373,0.702,265,438,703,102,93,75,170,257,1160,3ed22173-6b91-4189-a1df-56d82e1dd0f7,2011
89,Jamal Crawford,PG,31,POR,60,6,1613,283,737,0.384,80,260,0.308,203,477,0.426,0.438,191,206,0.927,16,102,118,191,55,14,111,74,837,70633ba1-a422-425a-9f14-b65fc0aea757,2011
90,Jordan Crawford,SG,23,WAS,64,32,1753,349,872,0.4,79,273,0.289,270,599,0.451,0.446,161,203,0.793,44,124,168,190,59,5,141,111,938,d1b01f60-b239-49ea-bbe2-9561a63fd00b,2011
91,Dante Cunningham,PF,24,MEM,64,5,1124,144,279,0.516,0,2,0.0,144,277,0.52,0.516,45,69,0.652,91,155,246,37,42,34,29,98,333,9ead8a14-508e-4b0f-bb2e-5d7ca123fca8,2011
92,Eddy Curry,C,29,MIA,14,1,83,12,26,0.462,0,0,0.0,12,26,0.462,0.462,6,8,0.75,4,8,12,1,0,2,10,17,30,46da6da0-5491-4b44-a1ee-0c8dc6b9673e,2011
93,Stephen Curry,PG,23,GSW,26,23,732,145,296,0.49,55,121,0.455,90,175,0.514,0.583,38,47,0.809,15,73,88,138,39,8,65,62,383,9c7a1a07-4978-474c-b472-3cb227f9e4cf,2011
94,Samuel Dalembert,C,30,HOU,65,45,1446,200,395,0.506,0,1,0.0,200,394,0.508,0.506,90,113,0.796,158,298,456,33,37,111,82,162,490,6712c841-c113-4333-9925-98f952093c43,2011
95,Erick Dampier,C,36,ATL,15,0,83,1,8,0.125,0,0,0.0,1,8,0.125,0.125,0,0,0.0,10,15,25,4,1,4,3,9,2,c31ab4d8-7d51-4157-a534-1648d05c4c27,2011
96,Marquis Daniels,SG,31,BOS,38,0,484,52,143,0.364,0,10,0.0,52,133,0.391,0.364,17,23,0.739,16,50,66,47,21,9,28,36,121,292f83b6-26cc-419f-9f29-14b321a1590c,2011
97,Baron Davis,PG,32,NYK,29,14,595,68,184,0.37,26,85,0.306,42,99,0.424,0.44,16,24,0.667,13,43,56,135,34,3,76,61,178,526e351a-8d16-41df-9162-83221df6ec56,2011
98,Ed Davis,PF,22,TOR,66,9,1534,172,335,0.513,0,1,0.0,172,334,0.515,0.513,71,106,0.67,134,304,438,60,40,63,67,156,415,bf153be4-58db-44ae-8c5f-8dab021119c7,2011
99,Glen Davis,PF,26,ORL,61,13,1427,225,534,0.421,2,14,0.143,223,520,0.429,0.423,114,167,0.683,107,224,331,47,43,19,75,106,566,6539ac92-659c-4dcc-bd42-af5a6f285006,2011
100,Josh Davis,PF,31,MEM,15,0,130,10,27,0.37,4,13,0.308,6,14,0.429,0.444,4,8,0.5,16,11,27,6,7,1,3,19,28,751b8eca-c8e5-4f64-b69a-67443030743e,2011
101,Eric Dawson,C,27,SAS,4,0,39,7,12,0.583,0,0,0.0,7,12,0.583,0.583,1,2,0.5,5,5,10,0,1,2,3,6,15,f713ba47-0ff9-4a72-8857-63f3875a4b92,2011
102,Austin Daye,SF,23,DET,41,4,603,73,227,0.322,13,62,0.21,60,165,0.364,0.35,35,43,0.814,14,77,91,33,22,21,40,62,194,cc564120-76a1-4c4d-84de-9d9c36970b50,2011
103,Carlos Delfino,SF,29,MIL,54,53,1537,182,453,0.402,86,239,0.36,96,214,0.449,0.497,38,48,0.792,20,188,208,123,79,10,66,99,488,e055c055-2596-4d0c-91e5-6ed6d0feb9fa,2011
104,Luol Deng,SF,26,CHI,54,54,2129,311,755,0.412,79,215,0.367,232,540,0.43,0.464,127,165,0.77,77,273,350,157,56,36,96,81,828,8fc3eccc-a295-4ff3-84aa-59e2f2695930,2011
105,Justin Dentmon,PG,26,TOT,6,0,91,10,28,0.357,2,14,0.143,8,14,0.571,0.393,4,6,0.667,0,8,8,10,2,0,7,10,26,fe1cf091-4360-4d43-9cbd-a2f6c62f2dd5,2011
106,DeMar DeRozan,SG,22,TOR,63,63,2206,381,903,0.422,24,92,0.261,357,811,0.44,0.435,268,331,0.81,40,171,211,128,48,17,123,162,1054,141a79e7-f673-4236-8db0-52be30402aaf,2011
107,Boris Diaw,PF,29,TOT,57,35,1424,156,351,0.444,31,99,0.313,125,252,0.496,0.489,22,35,0.629,70,210,280,205,34,25,112,125,365,09bab5e3-f790-4001-aa34-0e4eb79d2c47,2011
108,Ike Diogu,PF,28,SAS,2,0,14,0,2,0.0,0,0,0.0,0,2,0.0,0.0,2,2,1.0,0,1,1,0,0,0,1,1,2,3eec7b32-9e2b-4814-9532-05430bca0e03,2011
109,DeSagana Diop,C,30,CHA,27,9,325,15,42,0.357,0,0,0.0,15,42,0.357,0.357,1,6,0.167,33,52,85,23,6,13,19,36,31,036d4cfa-f2bb-4d15-a5d3-9770671c75dd,2011
110,Keyon Dooling,SG,31,BOS,46,2,662,66,163,0.405,27,81,0.333,39,82,0.476,0.488,23,31,0.742,3,36,39,51,13,2,34,57,182,4c4e6fbd-c810-4691-b699-7dbc35c4ccc8,2011
111,Toney Douglas,PG,25,NYK,38,9,656,94,290,0.324,27,117,0.231,67,173,0.387,0.371,22,26,0.846,16,56,72,77,29,1,56,55,237,22704e9f-9824-4f2a-aaa0-218ebc28e1cc,2011
112,Jared Dudley,SG,26,PHO,65,60,2020,312,643,0.485,80,209,0.383,232,434,0.535,0.547,119,164,0.726,95,206,301,112,49,19,72,107,823,f28ab262-881f-4675-8200-d5e15f93195e,2011
113,Chris Duhon,PG,29,ORL,63,9,1226,85,203,0.419,50,119,0.42,35,84,0.417,0.542,17,21,0.81,14,88,102,151,35,9,81,71,237,9ebbccdc-f8b3-48e5-a4f0-c97e3c130f0a,2011
114,Tim Duncan,C,35,SAS,58,58,1634,361,733,0.492,0,4,0.0,361,729,0.495,0.492,173,249,0.695,110,410,520,132,38,88,97,98,895,12b9fb27-2178-4f65-9099-9764b863e4df,2011
115,Mike Dunleavy,SF,31,MIL,55,3,1445,239,504,0.474,83,208,0.399,156,296,0.527,0.557,116,143,0.811,29,175,204,117,28,8,58,87,677,2c3c09ad-57d2-48d7-8a00-f77e79ae5e61,2011
116,Kevin Durant,SF,23,OKC,66,66,2546,643,1297,0.496,133,344,0.387,510,953,0.535,0.547,431,501,0.86,40,487,527,231,88,77,248,133,1850,5dde60a0-ddd0-444a-a30d-af49c13df613,2011
117,Devin Ebanks,SG,22,LAL,24,12,396,37,89,0.416,0,9,0.0,37,80,0.463,0.416,23,35,0.657,26,28,54,12,11,6,18,26,97,8bf7e8a2-0b25-4829-a2ef-da46195b9a05,2011
118,Wayne Ellington,SG,24,MIN,51,4,973,122,302,0.404,35,108,0.324,87,194,0.448,0.462,32,40,0.8,14,85,99,33,26,10,26,56,311,6f7f81f9-6dea-4e90-a93d-f92089f0b816,2011
119,Monta Ellis,SG,26,TOT,58,58,2120,450,1040,0.433,62,201,0.308,388,839,0.462,0.463,219,275,0.796,20,180,200,346,85,18,177,136,1181,093a6167-7bc2-465f-9599-18e6cf580400,2011
120,Francisco Elson,C,35,PHI,5,0,16,1,3,0.333,0,0,0.0,1,3,0.333,0.333,0,0,0.0,0,1,1,1,1,1,1,0,2,9a076bc2-3a18-47cd-b09f-bd82510744ac,2011
121,Andre Emmett,SF,29,NJN,6,0,45,4,7,0.571,0,1,0.0,4,6,0.667,0.571,5,8,0.625,2,4,6,1,2,1,2,2,13,8806dea9-d517-468f-aaf6-e13cf402a150,2011
122,Semih Erden,C,25,CLE,28,9,333,39,74,0.527,0,0,0.0,39,74,0.527,0.527,21,41,0.512,20,52,72,9,10,5,16,60,99,3f035d59-50b7-4868-ba83-899559673281,2011
123,Jeremy Evans,SF,24,UTA,29,0,217,27,42,0.643,0,1,0.0,27,41,0.659,0.643,8,16,0.5,19,31,50,13,6,24,5,23,62,ac4d91e0-915c-424a-a129-4f281348dd50,2011
124,Maurice Evans,SF,33,WAS,24,0,343,45,112,0.402,17,45,0.378,28,67,0.418,0.478,10,13,0.769,8,16,24,9,14,0,10,36,117,8f4d3005-dfdb-4b89-adad-45606cd618dd,2011
