,player,pos,age,tm,g,gs,mp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,uuid,year
0,Arron Afflalo,SG,24,DEN,82,75,2221,272,585,0.465,108,249,0.434,164,336,0.488,0.557,72,98,0.735,59,193,252,138,46,30,74,225,724,ec6bea36-d8d2-44de-a5ec-2744c582ed2a,2009
1,LaMarcus Aldridge,PF,24,POR,78,78,2922,579,1169,0.495,5,16,0.313,574,1153,0.498,0.497,230,304,0.757,192,435,627,160,67,48,104,231,1393,8e44a15c-b4d5-4dfe-bdf7-b86931475b32,2009
2,Joe Alexander,SF,23,CHI,8,0,29,1,6,0.167,0,1,0.0,1,5,0.2,0.167,2,3,0.667,2,3,5,2,1,1,0,9,4,16179845-15e6-4d7e-b3a8-42cf4357a856,2009
3,Malik Allen,PF,31,DEN,51,3,456,46,116,0.397,1,6,0.167,45,110,0.409,0.401,12,13,0.923,36,46,82,16,11,5,22,68,105,6c881a9f-326a-4c7c-8b77-64040bbf30b8,2009
4,Ray Allen,SG,34,BOS,80,80,2819,464,973,0.477,145,399,0.363,319,574,0.556,0.551,231,253,0.913,45,208,253,210,64,25,129,182,1304,d0df9ea6-dc69-4d3d-9311-41a1fdebad9c,2009
5,Tony Allen,SG,28,BOS,54,8,889,129,253,0.51,0,5,0.0,129,248,0.52,0.51,72,119,0.605,52,93,145,72,59,19,66,109,330,917674b3-1b6e-48ed-8d3b-f9161c1ea734,2009
6,Rafer Alston,PG,33,TOT,52,38,1421,155,446,0.348,58,168,0.345,97,278,0.349,0.413,59,81,0.728,13,116,129,176,50,10,95,103,427,ee905b13-ef4f-4bb4-9dd7-a8bf290c289a,2009
7,Chris Andersen,PF,31,DEN,76,0,1695,142,251,0.566,0,3,0.0,142,248,0.573,0.566,164,236,0.695,147,336,483,33,42,143,59,171,448,1c7a2c3b-e319-4c55-9294-2550d654cf28,2009
8,David Andersen,C,29,HOU,63,0,891,147,340,0.432,27,78,0.346,120,262,0.458,0.472,46,67,0.687,54,154,208,44,15,12,37,119,367,76175a13-69bd-40fa-8910-fa6fa7c3a92d,2009
9,Antonio Anderson,SF,24,OKC,1,0,15,1,3,0.333,0,0,0.0,1,3,0.333,0.333,0,0,0.0,1,0,1,0,0,0,1,1,2,7d0764c7-330b-4716-8bd8-3c168c82720a,2009
10,Ryan Anderson,PF,21,ORL,63,6,911,169,388,0.436,78,211,0.37,91,177,0.514,0.536,71,82,0.866,70,132,202,37,25,14,56,81,487,4c9e8daf-3859-4085-9024-b00a4aeec6c5,2009
11,Carmelo Anthony,SF,25,DEN,69,69,2634,688,1502,0.458,59,187,0.316,629,1315,0.478,0.478,508,612,0.83,152,302,454,222,88,30,209,225,1943,5aba723b-d598-4f57-ad9d-66759ddbc5bf,2009
12,Joel Anthony,C,27,MIA,80,16,1322,76,159,0.478,0,0,0.0,76,159,0.478,0.478,66,92,0.717,123,126,249,12,20,109,45,158,218,a3d3de35-1a4a-4198-a811-3b22d986fb54,2009
13,Gilbert Arenas,PG,28,WAS,32,32,1169,253,616,0.411,63,181,0.348,190,435,0.437,0.462,153,207,0.739,17,116,133,230,41,9,117,95,722,0a21b475-e840-4031-9c72-7b32c63c3721,2009
